county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail,provisional
Calhoun,Carr-Clark VFD 302,Registered Voters,,,,688,,,,
Calhoun,Carr-Clark VFD 302,Ballots Cast,,,,529,184,207,137,1
Calhoun,Carr-Clark VFD 302,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Donald J. Trump,REP,480,176,194,109,1
Calhoun,Carr-Clark VFD 302,President,,Joseph R. Biden,DEM,42,6,11,25,0
Calhoun,Carr-Clark VFD 302,President,,Jorgensen / Cohen,LPF,1,0,1,0,0
Calhoun,Carr-Clark VFD 302,President,,De La Fuente / Richardson,REF,1,1,0,0,0
Calhoun,Carr-Clark VFD 302,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Hawkins / Walker,GRE,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Blankenship / Mohr,CPF,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Write-In,,1,0,0,1,0
Calhoun,Carr-Clark VFD 302,President,,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Under Votes,,4,1,1,2,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Neal Dunn,REP,499,175,197,127,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Write-In,,1,0,0,1,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Under Votes,,29,9,10,9,1
Calhoun,Carr-Clark VFD 302,State Senate,3,Marva Harris Preston,REP,423,152,175,96,0
Calhoun,Carr-Clark VFD 302,State Senate,3,Lorranne Ausley,DEM,68,23,19,26,0
Calhoun,Carr-Clark VFD 302,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,State Senate,3,Under Votes,,38,9,13,15,1
Calhoun,Carr-Clark VFD 302,State Representative,7,Jason Shoaf,REP,459,165,181,113,0
Calhoun,Carr-Clark VFD 302,State Representative,7,Taymour Khan,DEM,35,8,12,15,0
Calhoun,Carr-Clark VFD 302,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,State Representative,7,Under Votes,,35,11,14,9,1
Calhoun,Carr-Clark VFD 502,Registered Voters,,,,221,,,,
Calhoun,Carr-Clark VFD 502,Ballots Cast,,,,174,70,56,47,1
Calhoun,Carr-Clark VFD 502,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Donald J. Trump,REP,154,62,52,39,1
Calhoun,Carr-Clark VFD 502,President,,Joseph R. Biden,DEM,17,6,4,7,0
Calhoun,Carr-Clark VFD 502,President,,Jorgensen / Cohen,LPF,2,2,0,0,0
Calhoun,Carr-Clark VFD 502,President,,De La Fuente / Richardson,REF,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Hawkins / Walker,GRE,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Blankenship / Mohr,CPF,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Write-In,,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Under Votes,,1,0,0,1,0
Calhoun,Carr-Clark VFD 502,U.S. House,2,Neal Dunn,REP,159,65,51,42,1
Calhoun,Carr-Clark VFD 502,U.S. House,2,Write-In,,6,1,1,4,0
Calhoun,Carr-Clark VFD 502,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,U.S. House,2,Under Votes,,9,4,4,1,0
Calhoun,Carr-Clark VFD 502,State Senate,3,Marva Harris Preston,REP,145,60,50,34,1
Calhoun,Carr-Clark VFD 502,State Senate,3,Lorranne Ausley,DEM,26,10,4,12,0
Calhoun,Carr-Clark VFD 502,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,State Senate,3,Under Votes,,3,0,2,1,0
Calhoun,Carr-Clark VFD 502,State Representative,7,Jason Shoaf,REP,152,62,51,38,1
Calhoun,Carr-Clark VFD 502,State Representative,7,Taymour Khan,DEM,18,8,3,7,0
Calhoun,Carr-Clark VFD 502,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,State Representative,7,Under Votes,,4,0,2,2,0
Calhoun,Westside VFD 102,Registered Voters,,,,785,,,,
Calhoun,Westside VFD 102,Ballots Cast,,,,574,174,285,115,0
Calhoun,Westside VFD 102,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Westside VFD 102,President,,Donald J. Trump,REP,469,147,235,87,0
Calhoun,Westside VFD 102,President,,Joseph R. Biden,DEM,95,25,43,27,0
Calhoun,Westside VFD 102,President,,Jorgensen / Cohen,LPF,6,2,3,1,0
Calhoun,Westside VFD 102,President,,De La Fuente / Richardson,REF,1,0,1,0,0
Calhoun,Westside VFD 102,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Westside VFD 102,President,,Hawkins / Walker,GRE,0,0,0,0,0
Calhoun,Westside VFD 102,President,,Blankenship / Mohr,CPF,0,0,0,0,0
Calhoun,Westside VFD 102,President,,Write-In,,1,0,1,0,0
Calhoun,Westside VFD 102,President,,Over Votes,,0,0,0,0,0
Calhoun,Westside VFD 102,President,,Under Votes,,2,0,2,0,0
Calhoun,Westside VFD 102,U.S. House,2,Neal Dunn,REP,500,153,249,98,0
Calhoun,Westside VFD 102,U.S. House,2,Write-In,,6,2,2,2,0
Calhoun,Westside VFD 102,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Westside VFD 102,U.S. House,2,Under Votes,,68,19,34,15,0
Calhoun,Westside VFD 102,State Senate,3,Marva Harris Preston,REP,440,139,216,85,0
Calhoun,Westside VFD 102,State Senate,3,Lorranne Ausley,DEM,96,26,47,23,0
Calhoun,Westside VFD 102,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Westside VFD 102,State Senate,3,Under Votes,,38,9,22,7,0
Calhoun,Westside VFD 102,State Representative,7,Jason Shoaf,REP,452,140,225,87,0
Calhoun,Westside VFD 102,State Representative,7,Taymour Khan,DEM,84,25,36,23,0
Calhoun,Westside VFD 102,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Westside VFD 102,State Representative,7,Under Votes,,38,9,24,5,0
Calhoun,Shelton Library 301,Registered Voters,,,,1540,,,,
Calhoun,Shelton Library 301,Ballots Cast,,,,1157,295,599,263,0
Calhoun,Shelton Library 301,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Shelton Library 301,President,,Donald J. Trump,REP,1006,255,551,200,0
Calhoun,Shelton Library 301,President,,Joseph R. Biden,DEM,135,36,38,61,0
Calhoun,Shelton Library 301,President,,Jorgensen / Cohen,LPF,11,2,8,1,0
Calhoun,Shelton Library 301,President,,De La Fuente / Richardson,REF,0,0,0,0,0
Calhoun,Shelton Library 301,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Shelton Library 301,President,,Hawkins / Walker,GRE,0,0,0,0,0
Calhoun,Shelton Library 301,President,,Blankenship / Mohr,CPF,1,0,1,0,0
Calhoun,Shelton Library 301,President,,Write-In,,3,2,1,0,0
Calhoun,Shelton Library 301,President,,Over Votes,,0,0,0,0,0
Calhoun,Shelton Library 301,President,,Under Votes,,1,0,0,1,0
Calhoun,Shelton Library 301,U.S. House,2,Neal Dunn,REP,1052,267,559,226,0
Calhoun,Shelton Library 301,U.S. House,2,Write-In,,28,4,9,15,0
Calhoun,Shelton Library 301,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Shelton Library 301,U.S. House,2,Under Votes,,77,24,31,22,0
Calhoun,Shelton Library 301,State Senate,3,Marva Harris Preston,REP,942,241,513,188,0
Calhoun,Shelton Library 301,State Senate,3,Lorranne Ausley,DEM,162,35,61,66,0
Calhoun,Shelton Library 301,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Shelton Library 301,State Senate,3,Under Votes,,53,19,25,9,0
Calhoun,Shelton Library 301,State Representative,7,Jason Shoaf,REP,969,246,523,200,0
Calhoun,Shelton Library 301,State Representative,7,Taymour Khan,DEM,118,29,38,51,0
Calhoun,Shelton Library 301,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Shelton Library 301,State Representative,7,Under Votes,,70,20,38,12,0
Calhoun,Altha Old Gym 201,Registered Voters,,,,1047,,,,
Calhoun,Altha Old Gym 201,Ballots Cast,,,,810,292,368,150,0
Calhoun,Altha Old Gym 201,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Altha Old Gym 201,President,,Donald J. Trump,REP,723,265,338,120,0
Calhoun,Altha Old Gym 201,President,,Joseph R. Biden,DEM,83,25,29,29,0
Calhoun,Altha Old Gym 201,President,,Jorgensen / Cohen,LPF,0,0,0,0,0
Calhoun,Altha Old Gym 201,President,,De La Fuente / Richardson,REF,0,0,0,0,0
Calhoun,Altha Old Gym 201,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Altha Old Gym 201,President,,Hawkins / Walker,GRE,1,1,0,0,0
Calhoun,Altha Old Gym 201,President,,Blankenship / Mohr,CPF,0,0,0,0,0
Calhoun,Altha Old Gym 201,President,,Write-In,,1,0,1,0,0
Calhoun,Altha Old Gym 201,President,,Over Votes,,0,0,0,0,0
Calhoun,Altha Old Gym 201,President,,Under Votes,,2,1,0,1,0
Calhoun,Altha Old Gym 201,U.S. House,2,Neal Dunn,REP,735,265,338,132,0
Calhoun,Altha Old Gym 201,U.S. House,2,Write-In,,8,2,4,2,0
Calhoun,Altha Old Gym 201,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Altha Old Gym 201,U.S. House,2,Under Votes,,67,25,26,16,0
Calhoun,Altha Old Gym 201,State Senate,3,Marva Harris Preston,REP,655,230,315,110,0
Calhoun,Altha Old Gym 201,State Senate,3,Lorranne Ausley,DEM,113,43,37,33,0
Calhoun,Altha Old Gym 201,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Altha Old Gym 201,State Senate,3,Under Votes,,42,19,16,7,0
Calhoun,Altha Old Gym 201,State Representative,7,Jason Shoaf,REP,682,243,328,111,0
Calhoun,Altha Old Gym 201,State Representative,7,Taymour Khan,DEM,80,28,22,30,0
Calhoun,Altha Old Gym 201,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Altha Old Gym 201,State Representative,7,Under Votes,,48,21,18,9,0
Calhoun,Neal Civic Center 101,Registered Voters,,,,1142,,,,
Calhoun,Neal Civic Center 101,Ballots Cast,,,,834,197,421,215,1
Calhoun,Neal Civic Center 101,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Neal Civic Center 101,President,,Donald J. Trump,REP,678,168,357,152,1
Calhoun,Neal Civic Center 101,President,,Joseph R. Biden,DEM,146,27,62,57,0
Calhoun,Neal Civic Center 101,President,,Jorgensen / Cohen,LPF,3,1,1,1,0
Calhoun,Neal Civic Center 101,President,,De La Fuente / Richardson,REF,0,0,0,0,0
Calhoun,Neal Civic Center 101,President,,La Riva / Freeman,PSL,2,1,1,0,0
Calhoun,Neal Civic Center 101,President,,Hawkins / Walker,GRE,1,0,0,1,0
Calhoun,Neal Civic Center 101,President,,Blankenship / Mohr,CPF,0,0,0,0,0
Calhoun,Neal Civic Center 101,President,,Write-In,,1,0,0,1,0
Calhoun,Neal Civic Center 101,President,,Over Votes,,1,0,0,1,0
Calhoun,Neal Civic Center 101,President,,Under Votes,,2,0,0,2,0
Calhoun,Neal Civic Center 101,U.S. House,2,Neal Dunn,REP,729,174,372,182,1
Calhoun,Neal Civic Center 101,U.S. House,2,Write-In,,24,1,10,13,0
Calhoun,Neal Civic Center 101,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Neal Civic Center 101,U.S. House,2,Under Votes,,81,22,39,20,0
Calhoun,Neal Civic Center 101,State Senate,3,Marva Harris Preston,REP,618,149,325,143,1
Calhoun,Neal Civic Center 101,State Senate,3,Lorranne Ausley,DEM,178,38,75,65,0
Calhoun,Neal Civic Center 101,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Neal Civic Center 101,State Senate,3,Under Votes,,38,10,21,7,0
Calhoun,Neal Civic Center 101,State Representative,7,Jason Shoaf,REP,659,156,347,155,1
Calhoun,Neal Civic Center 101,State Representative,7,Taymour Khan,DEM,136,29,56,51,0
Calhoun,Neal Civic Center 101,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Neal Civic Center 101,State Representative,7,Under Votes,,39,12,18,9,0
Calhoun,Neal Civic Center 202,Registered Voters,,,,1038,,,,
Calhoun,Neal Civic Center 202,Ballots Cast,,,,794,172,450,172,0
Calhoun,Neal Civic Center 202,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Neal Civic Center 202,President,,Donald J. Trump,REP,639,134,387,118,0
Calhoun,Neal Civic Center 202,President,,Joseph R. Biden,DEM,144,37,57,50,0
Calhoun,Neal Civic Center 202,President,,Jorgensen / Cohen,LPF,1,0,1,0,0
Calhoun,Neal Civic Center 202,President,,De La Fuente / Richardson,REF,1,0,0,1,0
Calhoun,Neal Civic Center 202,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Neal Civic Center 202,President,,Hawkins / Walker,GRE,1,0,1,0,0
Calhoun,Neal Civic Center 202,President,,Blankenship / Mohr,CPF,1,1,0,0,0
Calhoun,Neal Civic Center 202,President,,Write-In,,1,0,0,1,0
Calhoun,Neal Civic Center 202,President,,Over Votes,,1,0,1,0,0
Calhoun,Neal Civic Center 202,President,,Under Votes,,5,0,3,2,0
Calhoun,Neal Civic Center 202,U.S. House,2,Neal Dunn,REP,687,142,405,140,0
Calhoun,Neal Civic Center 202,U.S. House,2,Write-In,,16,6,8,2,0
Calhoun,Neal Civic Center 202,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Neal Civic Center 202,U.S. House,2,Under Votes,,91,24,37,30,0
Calhoun,Neal Civic Center 202,State Senate,3,Marva Harris Preston,REP,606,124,363,119,0
Calhoun,Neal Civic Center 202,State Senate,3,Lorranne Ausley,DEM,146,34,61,51,0
Calhoun,Neal Civic Center 202,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Neal Civic Center 202,State Senate,3,Under Votes,,42,14,26,2,0
Calhoun,Neal Civic Center 202,State Representative,7,Jason Shoaf,REP,618,123,373,122,0
Calhoun,Neal Civic Center 202,State Representative,7,Taymour Khan,DEM,123,37,48,38,0
Calhoun,Neal Civic Center 202,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Neal Civic Center 202,State Representative,7,Under Votes,,53,12,29,12,0
