candidate,office,district,party,county,precinct,votes,election_day,early_voting,mail
Registered Voters,,,,Clay,100 -  Clay Hill Baptist Church ,3136,,,
Ballots Cast,,,,Clay,100 -  Clay Hill Baptist Church ,2334,803,1067,464
Ballots Cast Blank,,,,Clay,100 -  Clay Hill Baptist Church ,47,18,26,3
Donald J Trump,President ,,REP,Clay,100 -  Clay Hill Baptist Church ,2100,751,986,363
Joseph R Biden,President ,,DEM,Clay,100 -  Clay Hill Baptist Church ,213,44,75,94
Jo Jorgensen ,President ,,LPF,Clay,100 -  Clay Hill Baptist Church ,14,7,4,3
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,100 -  Clay Hill Baptist Church ,2,0,1,1
Don Blankenship,President ,,CPF,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Write-In,President ,,NPA,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Over Votes,President ,,,Clay,100 -  Clay Hill Baptist Church ,1,0,0,1
Under Votes,President ,,,Clay,100 -  Clay Hill Baptist Church ,4,1,1,2
Kat Cammack,US House,3,REP,Clay,100 -  Clay Hill Baptist Church ,2040,731,960,349
Adam Christensen,US House,3,DEM,Clay,100 -  Clay Hill Baptist Church ,249,52,86,111
Over Votes,US House,3,,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Under Votes,US House,3,,Clay,100 -  Clay Hill Baptist Church ,45,20,21,4
Jennifer Bradley,State Senate,5,REP,Clay,100 -  Clay Hill Baptist Church ,2061,731,965,365
Melina Rayna Barratt,State Senate,5,DEM,Clay,100 -  Clay Hill Baptist Church ,203,47,64,92
Over Votes,State Senate,5,,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Under Votes,State Senate,5,,Clay,100 -  Clay Hill Baptist Church ,70,25,38,7
Sam Garrison,State House,18,REP,Clay,100 -  Clay Hill Baptist Church ,2029,714,957,358
Leroy Anthony Edwards,State House,18,DEM,Clay,100 -  Clay Hill Baptist Church ,195,45,70,80
Ken Willey,State House,18,LPF,Clay,100 -  Clay Hill Baptist Church ,47,18,10,19
Over Votes,State House,18,,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Under Votes,State House,18,,Clay,100 -  Clay Hill Baptist Church ,63,26,30,7
Registered Voters,,,,Clay,102 - VFW Post #8255,3977,,,
Ballots Cast,,,,Clay,102 - VFW Post #8255,2712,735,1454,523
Ballots Cast Blank,,,,Clay,102 - VFW Post #8255,80,23,44,13
Donald J Trump,President ,,REP,Clay,102 - VFW Post #8255,2249,649,1263,337
Joseph R Biden,President ,,DEM,Clay,102 - VFW Post #8255,429,78,175,176
Jo Jorgensen ,President ,,LPF,Clay,102 - VFW Post #8255,20,6,8,6
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,102 - VFW Post #8255,2,0,1,1
Gloria La Riva ,President ,,PSL,Clay,102 - VFW Post #8255,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,102 - VFW Post #8255,2,2,0,0
Don Blankenship,President ,,CPF,Clay,102 - VFW Post #8255,1,0,1,0
Write-In,President ,,NPA,Clay,102 - VFW Post #8255,2,0,0,2
Over Votes,President ,,,Clay,102 - VFW Post #8255,2,0,2,0
Under Votes,President ,,,Clay,102 - VFW Post #8255,5,0,4,1
Kat Cammack,US House,3,REP,Clay,102 - VFW Post #8255,2196,630,1232,334
Adam Christensen,US House,3,DEM,Clay,102 - VFW Post #8255,447,89,182,176
Over Votes,US House,3,,Clay,102 - VFW Post #8255,0,0,0,0
Under Votes,US House,3,,Clay,102 - VFW Post #8255,69,16,40,13
Jennifer Bradley,State Senate,5,REP,Clay,102 - VFW Post #8255,2203,630,1240,333
Melina Rayna Barratt,State Senate,5,DEM,Clay,102 - VFW Post #8255,420,84,168,168
Over Votes,State Senate,5,,Clay,102 - VFW Post #8255,0,0,0,0
Under Votes,State Senate,5,,Clay,102 - VFW Post #8255,89,21,46,22
Sam Garrison,State House,18,REP,Clay,102 - VFW Post #8255,2157,614,1216,327
Leroy Anthony Edwards,State House,18,DEM,Clay,102 - VFW Post #8255,380,73,153,154
Ken Willey,State House,18,LPF,Clay,102 - VFW Post #8255,82,24,35,23
Over Votes,State House,18,,Clay,102 - VFW Post #8255,0,0,0,0
Under Votes,State House,18,,Clay,102 - VFW Post #8255,93,24,50,19
Registered Voters,,,,Clay,106 - Cornerstone Bapt Church,4606,,,
Ballots Cast,,,,Clay,106 - Cornerstone Bapt Church,3257,863,1766,628
Ballots Cast Blank,,,,Clay,106 - Cornerstone Bapt Church,73,19,42,12
Donald J Trump,President ,,REP,Clay,106 - Cornerstone Bapt Church,2731,757,1566,408
Joseph R Biden,President ,,DEM,Clay,106 - Cornerstone Bapt Church,461,87,174,200
Jo Jorgensen ,President ,,LPF,Clay,106 - Cornerstone Bapt Church,45,17,17,11
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,106 - Cornerstone Bapt Church,1,0,1,0
Gloria La Riva ,President ,,PSL,Clay,106 - Cornerstone Bapt Church,1,0,1,0
Howie Hawkins,President ,,GRE,Clay,106 - Cornerstone Bapt Church,3,0,1,2
Don Blankenship,President ,,CPF,Clay,106 - Cornerstone Bapt Church,4,1,3,0
Write-In,President ,,NPA,Clay,106 - Cornerstone Bapt Church,2,1,0,1
Over Votes,President ,,,Clay,106 - Cornerstone Bapt Church,6,0,1,5
Under Votes,President ,,,Clay,106 - Cornerstone Bapt Church,3,0,2,1
Kat Cammack,US House,3,REP,Clay,106 - Cornerstone Bapt Church,2666,732,1522,412
Adam Christensen,US House,3,DEM,Clay,106 - Cornerstone Bapt Church,524,110,210,204
Over Votes,US House,3,,Clay,106 - Cornerstone Bapt Church,1,1,0,0
Under Votes,US House,3,,Clay,106 - Cornerstone Bapt Church,66,20,34,12
Jennifer Bradley,State Senate,5,REP,Clay,106 - Cornerstone Bapt Church,2711,744,1542,425
Melina Rayna Barratt,State Senate,5,DEM,Clay,106 - Cornerstone Bapt Church,447,90,172,185
Over Votes,State Senate,5,,Clay,106 - Cornerstone Bapt Church,0,0,0,0
Under Votes,State Senate,5,,Clay,106 - Cornerstone Bapt Church,99,29,52,18
Sam Garrison,State House,18,REP,Clay,106 - Cornerstone Bapt Church,2648,719,1513,416
Leroy Anthony Edwards,State House,18,DEM,Clay,106 - Cornerstone Bapt Church,396,77,152,167
Ken Willey,State House,18,LPF,Clay,106 - Cornerstone Bapt Church,114,36,50,28
Over Votes,State House,18,,Clay,106 - Cornerstone Bapt Church,1,1,0,0
Under Votes,State House,18,,Clay,106 - Cornerstone Bapt Church,98,30,51,17
Registered Voters,,,,Clay,110 - Middleburg Civic Center,3224,,,
Ballots Cast,,,,Clay,110 - Middleburg Civic Center,2481,389,1496,596
Ballots Cast Blank,,,,Clay,110 - Middleburg Civic Center,50,13,29,8
Donald J Trump,President ,,REP,Clay,110 - Middleburg Civic Center,1859,326,1188,345
Joseph R Biden,President ,,DEM,Clay,110 - Middleburg Civic Center,570,50,283,237
Jo Jorgensen ,President ,,LPF,Clay,110 - Middleburg Civic Center,36,9,16,11
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,110 - Middleburg Civic Center,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,110 - Middleburg Civic Center,2,0,1,1
Howie Hawkins,President ,,GRE,Clay,110 - Middleburg Civic Center,3,2,1,0
Don Blankenship,President ,,CPF,Clay,110 - Middleburg Civic Center,0,0,0,0
Write-In,President ,,NPA,Clay,110 - Middleburg Civic Center,6,1,4,1
Over Votes,President ,,,Clay,110 - Middleburg Civic Center,4,1,2,1
Under Votes,President ,,,Clay,110 - Middleburg Civic Center,1,0,1,0
Kat Cammack,US House,3,REP,Clay,110 - Middleburg Civic Center,1831,317,1179,335
Adam Christensen,US House,3,DEM,Clay,110 - Middleburg Civic Center,596,57,298,241
Over Votes,US House,3,,Clay,110 - Middleburg Civic Center,1,0,1,0
Under Votes,US House,3,,Clay,110 - Middleburg Civic Center,53,15,18,20
Jennifer Bradley,State Senate,5,REP,Clay,110 - Middleburg Civic Center,1870,320,1192,358
Melina Rayna Barratt,State Senate,5,DEM,Clay,110 - Middleburg Civic Center,529,50,272,207
Over Votes,State Senate,5,,Clay,110 - Middleburg Civic Center,0,0,0,0
Under Votes,State Senate,5,,Clay,110 - Middleburg Civic Center,82,19,32,31
Sam Garrison,State House,18,REP,Clay,110 - Middleburg Civic Center,1828,309,1179,340
Leroy Anthony Edwards,State House,18,DEM,Clay,110 - Middleburg Civic Center,498,44,251,203
Ken Willey,State House,18,LPF,Clay,110 - Middleburg Civic Center,86,20,41,25
Over Votes,State House,18,,Clay,110 - Middleburg Civic Center,0,0,0,0
Under Votes,State House,18,,Clay,110 - Middleburg Civic Center,69,16,25,28
Registered Voters,,,,Clay,112 - Clay County Util Auth,6786,,,
Ballots Cast,,,,Clay,112 - Clay County Util Auth,5347,1026,2976,1345
Ballots Cast Blank,,,,Clay,112 - Clay County Util Auth,84,13,42,29
Donald J Trump,President ,,REP,Clay,112 - Clay County Util Auth,3500,743,2109,648
Joseph R Biden,President ,,DEM,Clay,112 - Clay County Util Auth,1740,254,822,664
Jo Jorgensen ,President ,,LPF,Clay,112 - Clay County Util Auth,65,19,30,16
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,112 - Clay County Util Auth,3,1,1,1
Gloria La Riva ,President ,,PSL,Clay,112 - Clay County Util Auth,6,0,3,3
Howie Hawkins,President ,,GRE,Clay,112 - Clay County Util Auth,10,3,4,3
Don Blankenship,President ,,CPF,Clay,112 - Clay County Util Auth,1,0,0,1
Write-In,President ,,NPA,Clay,112 - Clay County Util Auth,5,2,3,0
Over Votes,President ,,,Clay,112 - Clay County Util Auth,6,2,0,4
Under Votes,President ,,,Clay,112 - Clay County Util Auth,11,2,4,5
Kat Cammack,US House,3,REP,Clay,112 - Clay County Util Auth,3499,747,2103,649
Adam Christensen,US House,3,DEM,Clay,112 - Clay County Util Auth,1757,255,831,671
Over Votes,US House,3,,Clay,112 - Clay County Util Auth,0,0,0,0
Under Votes,US House,3,,Clay,112 - Clay County Util Auth,91,24,42,25
Jennifer Bradley,State Senate,5,REP,Clay,112 - Clay County Util Auth,3593,754,2146,693
Melina Rayna Barratt,State Senate,5,DEM,Clay,112 - Clay County Util Auth,1618,239,770,609
Over Votes,State Senate,5,,Clay,112 - Clay County Util Auth,0,0,0,0
Under Votes,State Senate,5,,Clay,112 - Clay County Util Auth,136,33,60,43
Sam Garrison,State House,18,REP,Clay,112 - Clay County Util Auth,3429,711,2075,643
Leroy Anthony Edwards,State House,18,DEM,Clay,112 - Clay County Util Auth,1619,239,763,617
Ken Willey,State House,18,LPF,Clay,112 - Clay County Util Auth,162,39,78,45
Over Votes,State House,18,,Clay,112 - Clay County Util Auth,1,1,0,0
Under Votes,State House,18,,Clay,112 - Clay County Util Auth,136,36,60,40
Registered Voters,,,,Clay,113 - Oakleaf Baptist Church,10283,,,
Ballots Cast,,,,Clay,113 - Oakleaf Baptist Church,7938,1149,4900,1889
Ballots Cast Blank,,,,Clay,113 - Oakleaf Baptist Church,159,43,81,35
Donald J Trump,President ,,REP,Clay,113 - Oakleaf Baptist Church,3334,577,2153,604
Joseph R Biden,President ,,DEM,Clay,113 - Oakleaf Baptist Church,4471,540,2681,1250
Jo Jorgensen ,President ,,LPF,Clay,113 - Oakleaf Baptist Church,66,14,37,15
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,113 - Oakleaf Baptist Church,6,1,4,1
Gloria La Riva ,President ,,PSL,Clay,113 - Oakleaf Baptist Church,3,0,1,2
Howie Hawkins,President ,,GRE,Clay,113 - Oakleaf Baptist Church,12,3,6,3
Don Blankenship,President ,,CPF,Clay,113 - Oakleaf Baptist Church,3,1,1,1
Write-In,President ,,NPA,Clay,113 - Oakleaf Baptist Church,21,6,9,6
Over Votes,President ,,,Clay,113 - Oakleaf Baptist Church,15,3,5,7
Under Votes,President ,,,Clay,113 - Oakleaf Baptist Church,7,4,3,0
Kat Cammack,US House,3,REP,Clay,113 - Oakleaf Baptist Church,3438,586,2227,628
Adam Christensen,US House,3,DEM,Clay,113 - Oakleaf Baptist Church,4351,520,2603,1228
Over Votes,US House,3,,Clay,113 - Oakleaf Baptist Church,2,1,0,1
Under Votes,US House,3,,Clay,113 - Oakleaf Baptist Church,147,42,73,32
Jennifer Bradley,State Senate,5,REP,Clay,113 - Oakleaf Baptist Church,3550,590,2277,683
Melina Rayna Barratt,State Senate,5,DEM,Clay,113 - Oakleaf Baptist Church,4165,507,2517,1141
Over Votes,State Senate,5,,Clay,113 - Oakleaf Baptist Church,0,0,0,0
Under Votes,State Senate,5,,Clay,113 - Oakleaf Baptist Church,223,52,106,65
Sam Garrison,State House,18,REP,Clay,113 - Oakleaf Baptist Church,3366,553,2195,618
Leroy Anthony Edwards,State House,18,DEM,Clay,113 - Oakleaf Baptist Church,4127,485,2492,1150
Ken Willey,State House,18,LPF,Clay,113 - Oakleaf Baptist Church,231,53,111,67
Over Votes,State House,18,,Clay,113 - Oakleaf Baptist Church,0,0,0,0
Under Votes,State House,18,,Clay,113 - Oakleaf Baptist Church,214,58,102,54
Registered Voters,,,,Clay,115 - Oakleaf Plant Athl Cntr,5804,,,
Ballots Cast,,,,Clay,115 - Oakleaf Plant Athl Cntr,4200,790,2297,1113
Ballots Cast Blank,,,,Clay,115 - Oakleaf Plant Athl Cntr,89,20,44,25
Donald J Trump,President ,,REP,Clay,115 - Oakleaf Plant Athl Cntr,1953,435,1150,368
Joseph R Biden,President ,,DEM,Clay,115 - Oakleaf Plant Athl Cntr,2167,330,1117,720
Jo Jorgensen ,President ,,LPF,Clay,115 - Oakleaf Plant Athl Cntr,45,17,16,12
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,115 - Oakleaf Plant Athl Cntr,2,1,0,1
Gloria La Riva ,President ,,PSL,Clay,115 - Oakleaf Plant Athl Cntr,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,115 - Oakleaf Plant Athl Cntr,5,1,2,2
Don Blankenship,President ,,CPF,Clay,115 - Oakleaf Plant Athl Cntr,3,1,1,1
Write-In,President ,,NPA,Clay,115 - Oakleaf Plant Athl Cntr,8,2,3,3
Over Votes,President ,,,Clay,115 - Oakleaf Plant Athl Cntr,6,0,2,4
Under Votes,President ,,,Clay,115 - Oakleaf Plant Athl Cntr,11,3,6,2
Kat Cammack,US House,3,REP,Clay,115 - Oakleaf Plant Athl Cntr,2017,445,1182,390
Adam Christensen,US House,3,DEM,Clay,115 - Oakleaf Plant Athl Cntr,2076,320,1069,687
Over Votes,US House,3,,Clay,115 - Oakleaf Plant Athl Cntr,1,0,0,1
Under Votes,US House,3,,Clay,115 - Oakleaf Plant Athl Cntr,106,25,46,35
Jennifer Bradley,State Senate,5,REP,Clay,115 - Oakleaf Plant Athl Cntr,2090,448,1213,429
Melina Rayna Barratt,State Senate,5,DEM,Clay,115 - Oakleaf Plant Athl Cntr,1964,310,1019,635
Over Votes,State Senate,5,,Clay,115 - Oakleaf Plant Athl Cntr,0,0,0,0
Under Votes,State Senate,5,,Clay,115 - Oakleaf Plant Athl Cntr,146,32,65,49
Sam Garrison,State House,18,REP,Clay,115 - Oakleaf Plant Athl Cntr,1946,410,1146,390
Leroy Anthony Edwards,State House,18,DEM,Clay,115 - Oakleaf Plant Athl Cntr,1969,302,1036,631
Ken Willey,State House,18,LPF,Clay,115 - Oakleaf Plant Athl Cntr,142,45,54,43
Over Votes,State House,18,,Clay,115 - Oakleaf Plant Athl Cntr,0,0,0,0
Under Votes,State House,18,,Clay,115 - Oakleaf Plant Athl Cntr,143,33,61,49
Registered Voters,,,,Clay,116 - Argyle Elementary,5251,,,
Ballots Cast,,,,Clay,116 - Argyle Elementary,3821,771,1963,1087
Ballots Cast Blank,,,,Clay,116 - Argyle Elementary,71,21,38,12
Donald J Trump,President ,,REP,Clay,116 - Argyle Elementary,1752,433,943,376
Joseph R Biden,President ,,DEM,Clay,116 - Argyle Elementary,1983,314,985,684
Jo Jorgensen ,President ,,LPF,Clay,116 - Argyle Elementary,43,10,18,15
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,116 - Argyle Elementary,3,1,1,1
Gloria La Riva ,President ,,PSL,Clay,116 - Argyle Elementary,3,0,2,1
Howie Hawkins,President ,,GRE,Clay,116 - Argyle Elementary,5,3,2,0
Don Blankenship,President ,,CPF,Clay,116 - Argyle Elementary,3,0,1,2
Write-In,President ,,NPA,Clay,116 - Argyle Elementary,14,4,6,4
Over Votes,President ,,,Clay,116 - Argyle Elementary,4,1,0,3
Under Votes,President ,,,Clay,116 - Argyle Elementary,11,5,5,1
Kat Cammack,US House,3,REP,Clay,116 - Argyle Elementary,1752,425,941,386
Adam Christensen,US House,3,DEM,Clay,116 - Argyle Elementary,1982,309,989,684
Over Votes,US House,3,,Clay,116 - Argyle Elementary,1,1,0,0
Under Votes,US House,3,,Clay,116 - Argyle Elementary,86,36,33,17
Jennifer Bradley,State Senate,5,REP,Clay,116 - Argyle Elementary,1830,441,965,424
Melina Rayna Barratt,State Senate,5,DEM,Clay,116 - Argyle Elementary,1891,291,957,643
Over Votes,State Senate,5,,Clay,116 - Argyle Elementary,1,1,0,0
Under Votes,State Senate,5,,Clay,116 - Argyle Elementary,99,38,41,20
Sam Garrison,State House,18,REP,Clay,116 - Argyle Elementary,1726,405,922,399
Leroy Anthony Edwards,State House,18,DEM,Clay,116 - Argyle Elementary,1851,287,935,629
Ken Willey,State House,18,LPF,Clay,116 - Argyle Elementary,143,38,65,40
Over Votes,State House,18,,Clay,116 - Argyle Elementary,2,2,0,0
Under Votes,State House,18,,Clay,116 - Argyle Elementary,99,39,41,19
Registered Voters,,,,Clay,118 - Asbury United Method Chu,4353,,,
Ballots Cast,,,,Clay,118 - Asbury United Method Chu,3242,688,1721,833
Ballots Cast Blank,,,,Clay,118 - Asbury United Method Chu,77,19,43,15
Donald J Trump,President ,,REP,Clay,118 - Asbury United Method Chu,2283,549,1297,437
Joseph R Biden,President ,,DEM,Clay,118 - Asbury United Method Chu,896,125,393,378
Jo Jorgensen ,President ,,LPF,Clay,118 - Asbury United Method Chu,43,8,24,11
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,118 - Asbury United Method Chu,1,0,1,0
Gloria La Riva ,President ,,PSL,Clay,118 - Asbury United Method Chu,2,0,0,2
Howie Hawkins,President ,,GRE,Clay,118 - Asbury United Method Chu,3,1,0,2
Don Blankenship,President ,,CPF,Clay,118 - Asbury United Method Chu,2,0,1,1
Write-In,President ,,NPA,Clay,118 - Asbury United Method Chu,7,4,2,1
Over Votes,President ,,,Clay,118 - Asbury United Method Chu,3,1,1,1
Under Votes,President ,,,Clay,118 - Asbury United Method Chu,2,0,2,0
Kat Cammack,US House,3,REP,Clay,118 - Asbury United Method Chu,2242,533,1284,425
Adam Christensen,US House,3,DEM,Clay,118 - Asbury United Method Chu,937,138,412,387
Over Votes,US House,3,,Clay,118 - Asbury United Method Chu,0,0,0,0
Under Votes,US House,3,,Clay,118 - Asbury United Method Chu,63,17,25,21
Jennifer Bradley,State Senate,5,REP,Clay,118 - Asbury United Method Chu,2306,544,1310,452
Melina Rayna Barratt,State Senate,5,DEM,Clay,118 - Asbury United Method Chu,846,122,375,349
Over Votes,State Senate,5,,Clay,118 - Asbury United Method Chu,0,0,0,0
Under Votes,State Senate,5,,Clay,118 - Asbury United Method Chu,90,22,36,32
Sam Garrison,State House,18,REP,Clay,118 - Asbury United Method Chu,2244,525,1285,434
Leroy Anthony Edwards,State House,18,DEM,Clay,118 - Asbury United Method Chu,803,110,351,342
Ken Willey,State House,18,LPF,Clay,118 - Asbury United Method Chu,95,26,43,26
Over Votes,State House,18,,Clay,118 - Asbury United Method Chu,0,0,0,0
Under Votes,State House,18,,Clay,118 - Asbury United Method Chu,100,27,42,31
Registered Voters,,,,Clay,122 - Advent Lutheran Church,4317,,,
Ballots Cast,,,,Clay,122 - Advent Lutheran Church,3048,573,1633,842
Ballots Cast Blank,,,,Clay,122 - Advent Lutheran Church,59,9,34,16
Donald J Trump,President ,,REP,Clay,122 - Advent Lutheran Church,1904,414,1100,390
Joseph R Biden,President ,,DEM,Clay,122 - Advent Lutheran Church,1075,147,503,425
Jo Jorgensen ,President ,,LPF,Clay,122 - Advent Lutheran Church,39,8,18,13
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,122 - Advent Lutheran Church,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,122 - Advent Lutheran Church,1,0,1,0
Howie Hawkins,President ,,GRE,Clay,122 - Advent Lutheran Church,3,1,2,0
Don Blankenship,President ,,CPF,Clay,122 - Advent Lutheran Church,2,0,0,2
Write-In,President ,,NPA,Clay,122 - Advent Lutheran Church,9,2,5,2
Over Votes,President ,,,Clay,122 - Advent Lutheran Church,8,1,0,7
Under Votes,President ,,,Clay,122 - Advent Lutheran Church,7,0,4,3
Kat Cammack,US House,3,REP,Clay,122 - Advent Lutheran Church,1923,414,1103,406
Adam Christensen,US House,3,DEM,Clay,122 - Advent Lutheran Church,1071,150,498,423
Over Votes,US House,3,,Clay,122 - Advent Lutheran Church,0,0,0,0
Under Votes,US House,3,,Clay,122 - Advent Lutheran Church,54,9,32,13
Jennifer Bradley,State Senate,5,REP,Clay,122 - Advent Lutheran Church,1996,433,1135,428
Melina Rayna Barratt,State Senate,5,DEM,Clay,122 - Advent Lutheran Church,988,132,465,391
Over Votes,State Senate,5,,Clay,122 - Advent Lutheran Church,0,0,0,0
Under Votes,State Senate,5,,Clay,122 - Advent Lutheran Church,64,8,33,23
Sam Garrison,State House,18,REP,Clay,122 - Advent Lutheran Church,1904,405,1084,415
Leroy Anthony Edwards,State House,18,DEM,Clay,122 - Advent Lutheran Church,977,132,453,392
Ken Willey,State House,18,LPF,Clay,122 - Advent Lutheran Church,95,24,51,20
Over Votes,State House,18,,Clay,122 - Advent Lutheran Church,0,0,0,0
Under Votes,State House,18,,Clay,122 - Advent Lutheran Church,72,12,45,15
Registered Voters,,,,Clay,124 - Advent Lutheran Church,2225,,,
Ballots Cast,,,,Clay,124 - Advent Lutheran Church,1909,308,993,608
Ballots Cast Blank,,,,Clay,124 - Advent Lutheran Church,29,4,17,8
Donald J Trump,President ,,REP,Clay,124 - Advent Lutheran Church,1269,244,706,319
Joseph R Biden,President ,,DEM,Clay,124 - Advent Lutheran Church,613,54,279,280
Jo Jorgensen ,President ,,LPF,Clay,124 - Advent Lutheran Church,12,7,4,1
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,124 - Advent Lutheran Church,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,124 - Advent Lutheran Church,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,124 - Advent Lutheran Church,5,0,0,5
Don Blankenship,President ,,CPF,Clay,124 - Advent Lutheran Church,1,0,0,1
Write-In,President ,,NPA,Clay,124 - Advent Lutheran Church,4,1,2,1
Over Votes,President ,,,Clay,124 - Advent Lutheran Church,1,1,0,0
Under Votes,President ,,,Clay,124 - Advent Lutheran Church,4,1,2,1
Kat Cammack,US House,3,REP,Clay,124 - Advent Lutheran Church,1272,244,705,323
Adam Christensen,US House,3,DEM,Clay,124 - Advent Lutheran Church,609,55,277,277
Over Votes,US House,3,,Clay,124 - Advent Lutheran Church,0,0,0,0
Under Votes,US House,3,,Clay,124 - Advent Lutheran Church,28,9,11,8
Jennifer Bradley,State Senate,5,REP,Clay,124 - Advent Lutheran Church,1316,249,718,349
Melina Rayna Barratt,State Senate,5,DEM,Clay,124 - Advent Lutheran Church,550,50,255,245
Over Votes,State Senate,5,,Clay,124 - Advent Lutheran Church,0,0,0,0
Under Votes,State Senate,5,,Clay,124 - Advent Lutheran Church,43,9,20,14
Sam Garrison,State House,18,REP,Clay,124 - Advent Lutheran Church,1293,243,707,343
Leroy Anthony Edwards,State House,18,DEM,Clay,124 - Advent Lutheran Church,526,41,243,242
Ken Willey,State House,18,LPF,Clay,124 - Advent Lutheran Church,40,11,17,12
Over Votes,State House,18,,Clay,124 - Advent Lutheran Church,0,0,0,0
Under Votes,State House,18,,Clay,124 - Advent Lutheran Church,50,13,26,11
Registered Voters,,,,Clay,128 - Calvary United,2792,,,
Ballots Cast,,,,Clay,128 - Calvary United,1618,503,733,382
Ballots Cast Blank,,,,Clay,128 - Calvary United,41,12,16,13
Donald J Trump,President ,,REP,Clay,128 - Calvary United,835,296,406,133
Joseph R Biden,President ,,DEM,Clay,128 - Calvary United,730,191,304,235
Jo Jorgensen ,President ,,LPF,Clay,128 - Calvary United,26,10,10,6
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,128 - Calvary United,1,1,0,0
Gloria La Riva ,President ,,PSL,Clay,128 - Calvary United,4,3,1,0
Howie Hawkins,President ,,GRE,Clay,128 - Calvary United,6,1,4,1
Don Blankenship,President ,,CPF,Clay,128 - Calvary United,1,1,0,0
Write-In,President ,,NPA,Clay,128 - Calvary United,5,0,4,1
Over Votes,President ,,,Clay,128 - Calvary United,6,0,1,5
Under Votes,President ,,,Clay,128 - Calvary United,4,0,3,1
Kat Cammack,US House,3,REP,Clay,128 - Calvary United,822,295,399,128
