candidate,office,district,party,county,precinct,votes,election_day,early_voting,mail
Donald J Trump,President ,,REP,Clay,400 - Orange Cove 7th Day Adv,1700,242,1054,404
Joseph R Biden,President ,,DEM,Clay,400 - Orange Cove 7th Day Adv,592,40,259,293
Jo Jorgensen ,President ,,LPF,Clay,400 - Orange Cove 7th Day Adv,18,6,6,6
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,400 - Orange Cove 7th Day Adv,2,0,1,1
Don Blankenship,President ,,CPF,Clay,400 - Orange Cove 7th Day Adv,2,1,0,1
Write-In,President ,,NPA,Clay,400 - Orange Cove 7th Day Adv,5,0,2,3
Over Votes,President ,,,Clay,400 - Orange Cove 7th Day Adv,1,0,1,0
Under Votes,President ,,,Clay,400 - Orange Cove 7th Day Adv,7,0,5,2
Kat Cammack,US House,3,REP,Clay,400 - Orange Cove 7th Day Adv,1690,240,1040,410
Adam Christensen,US House,3,DEM,Clay,400 - Orange Cove 7th Day Adv,584,42,256,286
Over Votes,US House,3,,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Under Votes,US House,3,,Clay,400 - Orange Cove 7th Day Adv,53,7,32,14
Jennifer Bradley,State Senate,5,REP,Clay,400 - Orange Cove 7th Day Adv,1764,244,1086,434
Melina Rayna Barratt,State Senate,5,DEM,Clay,400 - Orange Cove 7th Day Adv,487,36,202,249
Over Votes,State Senate,5,,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Under Votes,State Senate,5,,Clay,400 - Orange Cove 7th Day Adv,76,9,40,27
Sam Garrison,State House,18,REP,Clay,400 - Orange Cove 7th Day Adv,1733,233,1065,435
Leroy Anthony Edwards,State House,18,DEM,Clay,400 - Orange Cove 7th Day Adv,472,33,200,239
Ken Willey,State House,18,LPF,Clay,400 - Orange Cove 7th Day Adv,44,12,22,10
Over Votes,State House,18,,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Under Votes,State House,18,,Clay,400 - Orange Cove 7th Day Adv,78,11,41,26
Registered Voters,,,,Clay,406 - Eagle Harbor Soccer Club,2640,,,
Ballots Cast,,,,Clay,406 - Eagle Harbor Soccer Club,2187,295,1205,687
Ballots Cast Blank,,,,Clay,406 - Eagle Harbor Soccer Club,59,12,27,20
Donald J Trump,President ,,REP,Clay,406 - Eagle Harbor Soccer Club,1485,230,919,336
Joseph R Biden,President ,,DEM,Clay,406 - Eagle Harbor Soccer Club,670,54,279,337
Jo Jorgensen ,President ,,LPF,Clay,406 - Eagle Harbor Soccer Club,15,7,3,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,406 - Eagle Harbor Soccer Club,1,1,0,0
Howie Hawkins,President ,,GRE,Clay,406 - Eagle Harbor Soccer Club,3,0,1,2
Don Blankenship,President ,,CPF,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Write-In,President ,,NPA,Clay,406 - Eagle Harbor Soccer Club,7,2,1,4
Over Votes,President ,,,Clay,406 - Eagle Harbor Soccer Club,1,0,0,1
Under Votes,President ,,,Clay,406 - Eagle Harbor Soccer Club,5,1,2,2
Kat Cammack,US House,3,REP,Clay,406 - Eagle Harbor Soccer Club,1510,233,919,358
Adam Christensen,US House,3,DEM,Clay,406 - Eagle Harbor Soccer Club,628,53,261,314
Over Votes,US House,3,,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Under Votes,US House,3,,Clay,406 - Eagle Harbor Soccer Club,49,9,25,15
Jennifer Bradley,State Senate,5,REP,Clay,406 - Eagle Harbor Soccer Club,1576,233,956,387
Melina Rayna Barratt,State Senate,5,DEM,Clay,406 - Eagle Harbor Soccer Club,544,54,209,281
Over Votes,State Senate,5,,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Under Votes,State Senate,5,,Clay,406 - Eagle Harbor Soccer Club,67,8,40,19
Sam Garrison,State House,18,REP,Clay,406 - Eagle Harbor Soccer Club,1537,223,934,380
Leroy Anthony Edwards,State House,18,DEM,Clay,406 - Eagle Harbor Soccer Club,530,54,202,274
Ken Willey,State House,18,LPF,Clay,406 - Eagle Harbor Soccer Club,52,9,28,15
Over Votes,State House,18,,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Under Votes,State House,18,,Clay,406 - Eagle Harbor Soccer Club,68,9,41,18
Registered Voters,,,,Clay,408 - Crossroad Luth Chur,4606,,,
Ballots Cast,,,,Clay,408 - Crossroad Luth Chur,3898,527,2227,1144
Ballots Cast Blank,,,,Clay,408 - Crossroad Luth Chur,102,27,47,28
Donald J Trump,President ,,REP,Clay,408 - Crossroad Luth Chur,2733,420,1738,575
Joseph R Biden,President ,,DEM,Clay,408 - Crossroad Luth Chur,1112,94,465,553
Jo Jorgensen ,President ,,LPF,Clay,408 - Crossroad Luth Chur,28,5,14,9
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,408 - Crossroad Luth Chur,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,408 - Crossroad Luth Chur,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,408 - Crossroad Luth Chur,3,2,1,0
Don Blankenship,President ,,CPF,Clay,408 - Crossroad Luth Chur,2,0,1,1
Write-In,President ,,NPA,Clay,408 - Crossroad Luth Chur,10,4,4,2
Over Votes,President ,,,Clay,408 - Crossroad Luth Chur,0,0,0,0
Under Votes,President ,,,Clay,408 - Crossroad Luth Chur,10,2,4,4
Kat Cammack,US House,3,REP,Clay,408 - Crossroad Luth Chur,2745,421,1734,590
Adam Christensen,US House,3,DEM,Clay,408 - Crossroad Luth Chur,1038,83,437,518
Over Votes,US House,3,,Clay,408 - Crossroad Luth Chur,2,0,2,0
Under Votes,US House,3,,Clay,408 - Crossroad Luth Chur,113,23,54,36
Jennifer Bradley,State Senate,5,REP,Clay,408 - Crossroad Luth Chur,2849,426,1779,644
Melina Rayna Barratt,State Senate,5,DEM,Clay,408 - Crossroad Luth Chur,905,73,381,451
Over Votes,State Senate,5,,Clay,408 - Crossroad Luth Chur,0,0,0,0
Under Votes,State Senate,5,,Clay,408 - Crossroad Luth Chur,144,28,67,49
Sam Garrison,State House,18,REP,Clay,408 - Crossroad Luth Chur,2788,413,1739,636
Leroy Anthony Edwards,State House,18,DEM,Clay,408 - Crossroad Luth Chur,872,64,372,436
Ken Willey,State House,18,LPF,Clay,408 - Crossroad Luth Chur,89,19,40,30
Over Votes,State House,18,,Clay,408 - Crossroad Luth Chur,0,0,0,0
Under Votes,State House,18,,Clay,408 - Crossroad Luth Chur,149,31,76,42
Registered Voters,,,,Clay,410 - Fleming Island Splsh Pk,8059,,,
Ballots Cast,,,,Clay,410 - Fleming Island Splsh Pk,6338,770,3790,1778
Ballots Cast Blank,,,,Clay,410 - Fleming Island Splsh Pk,165,28,104,33
Donald J Trump,President ,,REP,Clay,410 - Fleming Island Splsh Pk,4041,523,2685,833
Joseph R Biden,President ,,DEM,Clay,410 - Fleming Island Splsh Pk,2185,219,1047,919
Jo Jorgensen ,President ,,LPF,Clay,410 - Fleming Island Splsh Pk,68,17,35,16
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,410 - Fleming Island Splsh Pk,2,0,1,1
Gloria La Riva ,President ,,PSL,Clay,410 - Fleming Island Splsh Pk,5,2,2,1
Howie Hawkins,President ,,GRE,Clay,410 - Fleming Island Splsh Pk,4,1,1,2
Don Blankenship,President ,,CPF,Clay,410 - Fleming Island Splsh Pk,4,1,2,1
Write-In,President ,,NPA,Clay,410 - Fleming Island Splsh Pk,16,4,11,1
Over Votes,President ,,,Clay,410 - Fleming Island Splsh Pk,3,0,0,3
Under Votes,President ,,,Clay,410 - Fleming Island Splsh Pk,10,3,6,1
Kat Cammack,US House,3,REP,Clay,410 - Fleming Island Splsh Pk,4080,535,2714,831
Adam Christensen,US House,3,DEM,Clay,410 - Fleming Island Splsh Pk,2067,200,986,881
Over Votes,US House,3,,Clay,410 - Fleming Island Splsh Pk,2,0,2,0
Under Votes,US House,3,,Clay,410 - Fleming Island Splsh Pk,189,35,88,66
Jennifer Bradley,State Senate,5,REP,Clay,410 - Fleming Island Splsh Pk,4251,556,2780,915
Melina Rayna Barratt,State Senate,5,DEM,Clay,410 - Fleming Island Splsh Pk,1859,177,893,789
Over Votes,State Senate,5,,Clay,410 - Fleming Island Splsh Pk,0,0,0,0
Under Votes,State Senate,5,,Clay,410 - Fleming Island Splsh Pk,228,37,117,74
Sam Garrison,State House,18,REP,Clay,410 - Fleming Island Splsh Pk,4105,524,2706,875
Leroy Anthony Edwards,State House,18,DEM,Clay,410 - Fleming Island Splsh Pk,1794,166,862,766
Ken Willey,State House,18,LPF,Clay,410 - Fleming Island Splsh Pk,202,37,103,62
Over Votes,State House,18,,Clay,410 - Fleming Island Splsh Pk,0,0,0,0
Under Votes,State House,18,,Clay,410 - Fleming Island Splsh Pk,237,43,119,75
Registered Voters,,,,Clay,412 - River Christian Church,3624,,,
Ballots Cast,,,,Clay,412 - River Christian Church,3030,364,1768,898
Ballots Cast Blank,,,,Clay,412 - River Christian Church,62,8,37,17
Donald J Trump,President ,,REP,Clay,412 - River Christian Church,2330,314,1498,518
Joseph R Biden,President ,,DEM,Clay,412 - River Christian Church,666,44,255,367
Jo Jorgensen ,President ,,LPF,Clay,412 - River Christian Church,14,5,6,3
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,412 - River Christian Church,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,412 - River Christian Church,1,0,0,1
Howie Hawkins,President ,,GRE,Clay,412 - River Christian Church,2,0,2,0
Don Blankenship,President ,,CPF,Clay,412 - River Christian Church,0,0,0,0
Write-In,President ,,NPA,Clay,412 - River Christian Church,4,1,3,0
Over Votes,President ,,,Clay,412 - River Christian Church,1,0,1,0
Under Votes,President ,,,Clay,412 - River Christian Church,12,0,3,9
Kat Cammack,US House,3,REP,Clay,412 - River Christian Church,2324,313,1481,530
Adam Christensen,US House,3,DEM,Clay,412 - River Christian Church,652,45,263,344
Over Votes,US House,3,,Clay,412 - River Christian Church,0,0,0,0
Under Votes,US House,3,,Clay,412 - River Christian Church,54,6,24,24
Jennifer Bradley,State Senate,5,REP,Clay,412 - River Christian Church,2382,312,1509,561
Melina Rayna Barratt,State Senate,5,DEM,Clay,412 - River Christian Church,575,44,225,306
Over Votes,State Senate,5,,Clay,412 - River Christian Church,0,0,0,0
Under Votes,State Senate,5,,Clay,412 - River Christian Church,73,8,34,31
Sam Garrison,State House,18,REP,Clay,412 - River Christian Church,2329,303,1479,547
Leroy Anthony Edwards,State House,18,DEM,Clay,412 - River Christian Church,542,32,213,297
Ken Willey,State House,18,LPF,Clay,412 - River Christian Church,70,15,31,24
Over Votes,State House,18,,Clay,412 - River Christian Church,0,0,0,0
Under Votes,State House,18,,Clay,412 - River Christian Church,89,14,45,30
Registered Voters,,,,Clay,414 - Hibernia Baptist Church,3159,,,
Ballots Cast,,,,Clay,414 - Hibernia Baptist Church,2505,314,1493,698
Ballots Cast Blank,,,,Clay,414 - Hibernia Baptist Church,47,12,31,4
Donald J Trump,President ,,REP,Clay,414 - Hibernia Baptist Church,1704,250,1129,325
Joseph R Biden,President ,,DEM,Clay,414 - Hibernia Baptist Church,733,51,340,342
Jo Jorgensen ,President ,,LPF,Clay,414 - Hibernia Baptist Church,38,10,13,15
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,414 - Hibernia Baptist Church,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,414 - Hibernia Baptist Church,1,0,1,0
Howie Hawkins,President ,,GRE,Clay,414 - Hibernia Baptist Church,3,1,1,1
Don Blankenship,President ,,CPF,Clay,414 - Hibernia Baptist Church,2,0,1,1
Write-In,President ,,NPA,Clay,414 - Hibernia Baptist Church,10,1,4,5
Over Votes,President ,,,Clay,414 - Hibernia Baptist Church,4,0,0,4
Under Votes,President ,,,Clay,414 - Hibernia Baptist Church,10,1,4,5
Kat Cammack,US House,3,REP,Clay,414 - Hibernia Baptist Church,1726,249,1132,345
Adam Christensen,US House,3,DEM,Clay,414 - Hibernia Baptist Church,718,49,330,339
Over Votes,US House,3,,Clay,414 - Hibernia Baptist Church,1,0,1,0
Under Votes,US House,3,,Clay,414 - Hibernia Baptist Church,60,16,30,14
Jennifer Bradley,State Senate,5,REP,Clay,414 - Hibernia Baptist Church,1780,247,1153,380
Melina Rayna Barratt,State Senate,5,DEM,Clay,414 - Hibernia Baptist Church,647,46,303,298
Over Votes,State Senate,5,,Clay,414 - Hibernia Baptist Church,0,0,0,0
Under Votes,State Senate,5,,Clay,414 - Hibernia Baptist Church,78,21,37,20
Sam Garrison,State House,18,REP,Clay,414 - Hibernia Baptist Church,1706,238,1110,358
Leroy Anthony Edwards,State House,18,DEM,Clay,414 - Hibernia Baptist Church,626,38,290,298
Ken Willey,State House,18,LPF,Clay,414 - Hibernia Baptist Church,88,14,48,26
Over Votes,State House,18,,Clay,414 - Hibernia Baptist Church,0,0,0,0
Under Votes,State House,18,,Clay,414 - Hibernia Baptist Church,85,24,45,16
Registered Voters,,,,Clay,500 - Pinewood Presb Chur,3824,,,
Ballots Cast,,,,Clay,500 - Pinewood Presb Chur,2666,582,1400,684
Ballots Cast Blank,,,,Clay,500 - Pinewood Presb Chur,49,16,26,7
Donald J Trump,President ,,REP,Clay,500 - Pinewood Presb Chur,1779,443,978,358
Joseph R Biden,President ,,DEM,Clay,500 - Pinewood Presb Chur,817,118,399,300
Jo Jorgensen ,President ,,LPF,Clay,500 - Pinewood Presb Chur,49,20,15,14
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,500 - Pinewood Presb Chur,1,0,0,1
Gloria La Riva ,President ,,PSL,Clay,500 - Pinewood Presb Chur,1,0,0,1
Howie Hawkins,President ,,GRE,Clay,500 - Pinewood Presb Chur,3,0,1,2
Don Blankenship,President ,,CPF,Clay,500 - Pinewood Presb Chur,0,0,0,0
Write-In,President ,,NPA,Clay,500 - Pinewood Presb Chur,5,1,1,3
Over Votes,President ,,,Clay,500 - Pinewood Presb Chur,7,0,2,5
Under Votes,President ,,,Clay,500 - Pinewood Presb Chur,4,0,4,0
Kat Cammack,US House,3,REP,Clay,500 - Pinewood Presb Chur,1786,437,983,366
Adam Christensen,US House,3,DEM,Clay,500 - Pinewood Presb Chur,823,124,397,302
Over Votes,US House,3,,Clay,500 - Pinewood Presb Chur,0,0,0,0
Under Votes,US House,3,,Clay,500 - Pinewood Presb Chur,57,21,20,16
Jennifer Bradley,State Senate,5,REP,Clay,500 - Pinewood Presb Chur,1824,438,1002,384
Melina Rayna Barratt,State Senate,5,DEM,Clay,500 - Pinewood Presb Chur,764,115,374,275
Over Votes,State Senate,5,,Clay,500 - Pinewood Presb Chur,0,0,0,0
Under Votes,State Senate,5,,Clay,500 - Pinewood Presb Chur,78,29,24,25
Sam Garrison,State House,18,REP,Clay,500 - Pinewood Presb Chur,1755,417,980,358
Leroy Anthony Edwards,State House,18,DEM,Clay,500 - Pinewood Presb Chur,726,104,354,268
Ken Willey,State House,18,LPF,Clay,500 - Pinewood Presb Chur,113,38,42,33
Over Votes,State House,18,,Clay,500 - Pinewood Presb Chur,1,0,0,1
Under Votes,State House,18,,Clay,500 - Pinewood Presb Chur,71,23,24,24
Registered Voters,,,,Clay,503 -  American Legion,1613,,,
Ballots Cast,,,,Clay,503 -  American Legion,1300,274,717,309
Ballots Cast Blank,,,,Clay,503 -  American Legion,25,12,9,4
Donald J Trump,President ,,REP,Clay,503 -  American Legion,997,228,575,194
Joseph R Biden,President ,,DEM,Clay,503 -  American Legion,282,41,130,111
Jo Jorgensen ,President ,,LPF,Clay,503 -  American Legion,13,3,7,3
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,503 -  American Legion,1,1,0,0
Gloria La Riva ,President ,,PSL,Clay,503 -  American Legion,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,503 -  American Legion,2,0,2,0
Don Blankenship,President ,,CPF,Clay,503 -  American Legion,1,0,1,0
Write-In,President ,,NPA,Clay,503 -  American Legion,2,0,1,1
Over Votes,President ,,,Clay,503 -  American Legion,0,0,0,0
Under Votes,President ,,,Clay,503 -  American Legion,2,1,1,0
Kat Cammack,US House,3,REP,Clay,503 -  American Legion,984,224,566,194
Adam Christensen,US House,3,DEM,Clay,503 -  American Legion,290,42,142,106
Over Votes,US House,3,,Clay,503 -  American Legion,0,0,0,0
Under Votes,US House,3,,Clay,503 -  American Legion,26,8,9,9
Jennifer Bradley,State Senate,5,REP,Clay,503 -  American Legion,1006,221,577,208
Melina Rayna Barratt,State Senate,5,DEM,Clay,503 -  American Legion,258,39,125,94
Over Votes,State Senate,5,,Clay,503 -  American Legion,0,0,0,0
Under Votes,State Senate,5,,Clay,503 -  American Legion,36,14,15,7
Sam Garrison,State House,18,REP,Clay,503 -  American Legion,985,219,568,198
Leroy Anthony Edwards,State House,18,DEM,Clay,503 -  American Legion,242,35,114,93
Ken Willey,State House,18,LPF,Clay,503 -  American Legion,40,7,21,12
Over Votes,State House,18,,Clay,503 -  American Legion,0,0,0,0
Under Votes,State House,18,,Clay,503 -  American Legion,33,13,14,6
Registered Voters,,,,Clay,504 - Lake Asbury Comm Cntr,2621,,,
Ballots Cast,,,,Clay,504 - Lake Asbury Comm Cntr,2222,681,1039,502
Ballots Cast Blank,,,,Clay,504 - Lake Asbury Comm Cntr,38,10,16,12
Donald J Trump,President ,,REP,Clay,504 - Lake Asbury Comm Cntr,1891,626,920,345
Joseph R Biden,President ,,DEM,Clay,504 - Lake Asbury Comm Cntr,305,46,109,150
Jo Jorgensen ,President ,,LPF,Clay,504 - Lake Asbury Comm Cntr,11,3,3,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,504 - Lake Asbury Comm Cntr,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,504 - Lake Asbury Comm Cntr,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,504 - Lake Asbury Comm Cntr,4,3,1,0
Don Blankenship,President ,,CPF,Clay,504 - Lake Asbury Comm Cntr,2,0,1,1
Write-In,President ,,NPA,Clay,504 - Lake Asbury Comm Cntr,2,0,1,1
Over Votes,President ,,,Clay,504 - Lake Asbury Comm Cntr,1,1,0,0
Under Votes,President ,,,Clay,504 - Lake Asbury Comm Cntr,6,2,4,0
Kat Cammack,US House,3,REP,Clay,504 - Lake Asbury Comm Cntr,1881,624,908,349
Adam Christensen,US House,3,DEM,Clay,504 - Lake Asbury Comm Cntr,297,47,107,143
Over Votes,US House,3,,Clay,504 - Lake Asbury Comm Cntr,0,0,0,0
Under Votes,US House,3,,Clay,504 - Lake Asbury Comm Cntr,44,10,24,10
Jennifer Bradley,State Senate,5,REP,Clay,504 - Lake Asbury Comm Cntr,1907,629,920,358
Melina Rayna Barratt,State Senate,5,DEM,Clay,504 - Lake Asbury Comm Cntr,257,36,91,130
Over Votes,State Senate,5,,Clay,504 - Lake Asbury Comm Cntr,0,0,0,0
Under Votes,State Senate,5,,Clay,504 - Lake Asbury Comm Cntr,58,16,28,14
Sam Garrison,State House,18,REP,Clay,504 - Lake Asbury Comm Cntr,1877,615,911,351
Leroy Anthony Edwards,State House,18,DEM,Clay,504 - Lake Asbury Comm Cntr,232,25,80,127
Ken Willey,State House,18,LPF,Clay,504 - Lake Asbury Comm Cntr,50,25,17,8
Over Votes,State House,18,,Clay,504 - Lake Asbury Comm Cntr,0,0,0,0
Under Votes,State House,18,,Clay,504 - Lake Asbury Comm Cntr,63,16,31,16
Registered Voters,,,,Clay,506 - Black Creek Church,2303,,,
Ballots Cast,,,,Clay,506 - Black Creek Church,1799,467,933,399
Ballots Cast Blank,,,,Clay,506 - Black Creek Church,39,11,26,2
Donald J Trump,President ,,REP,Clay,506 - Black Creek Church,1479,409,807,263
Joseph R Biden,President ,,DEM,Clay,506 - Black Creek Church,294,50,118,126
Jo Jorgensen ,President ,,LPF,Clay,506 - Black Creek Church,14,5,5,4
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,506 - Black Creek Church,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,506 - Black Creek Church,1,0,1,0
Howie Hawkins,President ,,GRE,Clay,506 - Black Creek Church,3,1,1,1
Don Blankenship,President ,,CPF,Clay,506 - Black Creek Church,1,0,0,1
Write-In,President ,,NPA,Clay,506 - Black Creek Church,3,2,1,0
Over Votes,President ,,,Clay,506 - Black Creek Church,3,0,0,3
Under Votes,President ,,,Clay,506 - Black Creek Church,1,0,0,1
Kat Cammack,US House,3,REP,Clay,506 - Black Creek Church,1450,405,790,255
Adam Christensen,US House,3,DEM,Clay,506 - Black Creek Church,309,52,124,133
Over Votes,US House,3,,Clay,506 - Black Creek Church,0,0,0,0
Under Votes,US House,3,,Clay,506 - Black Creek Church,40,10,19,11
Jennifer Bradley,State Senate,5,REP,Clay,506 - Black Creek Church,1467,402,798,267
Melina Rayna Barratt,State Senate,5,DEM,Clay,506 - Black Creek Church,276,50,107,119
Over Votes,State Senate,5,,Clay,506 - Black Creek Church,0,0,0,0
Under Votes,State Senate,5,,Clay,506 - Black Creek Church,56,15,28,13
Bobby Payne,State House,19,REP,Clay,506 - Black Creek Church,1431,389,786,256
Kimberly Dugger,State House,19,DEM,Clay,506 - Black Creek Church,315,61,124,130
Over Votes,State House,19,,Clay,506 - Black Creek Church,0,0,0,0
Under Votes,State House,19,,Clay,506 - Black Creek Church,53,17,23,13
Registered Voters,,,,Clay,508 - South Middleburg Bapt Ch,3841,,,
Ballots Cast,,,,Clay,508 - South Middleburg Bapt Ch,3045,750,1666,629
Ballots Cast Blank,,,,Clay,508 - South Middleburg Bapt Ch,62,22,32,8
Donald J Trump,President ,,REP,Clay,508 - South Middleburg Bapt Ch,2588,670,1497,421
Joseph R Biden,President ,,DEM,Clay,508 - South Middleburg Bapt Ch,409,62,153,194
Jo Jorgensen ,President ,,LPF,Clay,508 - South Middleburg Bapt Ch,31,14,12,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,508 - South Middleburg Bapt Ch,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,508 - South Middleburg Bapt Ch,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,508 - South Middleburg Bapt Ch,1,0,1,0
Don Blankenship,President ,,CPF,Clay,508 - South Middleburg Bapt Ch,4,2,0,2
Write-In,President ,,NPA,Clay,508 - South Middleburg Bapt Ch,8,2,2,4
Over Votes,President ,,,Clay,508 - South Middleburg Bapt Ch,2,0,0,2
Under Votes,President ,,,Clay,508 - South Middleburg Bapt Ch,2,0,1,1
Kat Cammack,US House,3,REP,Clay,508 - South Middleburg Bapt Ch,2562,667,1475,420
Adam Christensen,US House,3,DEM,Clay,508 - South Middleburg Bapt Ch,422,67,158,197
Over Votes,US House,3,,Clay,508 - South Middleburg Bapt Ch,1,0,1,0
Under Votes,US House,3,,Clay,508 - South Middleburg Bapt Ch,60,16,32,12
Jennifer Bradley,State Senate,5,REP,Clay,508 - South Middleburg Bapt Ch,2585,667,1484,434
Melina Rayna Barratt,State Senate,5,DEM,Clay,508 - South Middleburg Bapt Ch,379,60,138,181
Over Votes,State Senate,5,,Clay,508 - South Middleburg Bapt Ch,0,0,0,0
Under Votes,State Senate,5,,Clay,508 - South Middleburg Bapt Ch,81,23,44,14
Bobby Payne,State House,19,REP,Clay,508 - South Middleburg Bapt Ch,2518,648,1447,423
Kimberly Dugger,State House,19,DEM,Clay,508 - South Middleburg Bapt Ch,428,71,168,189
Over Votes,State House,19,,Clay,508 - South Middleburg Bapt Ch,0,0,0,0
Under Votes,State House,19,,Clay,508 - South Middleburg Bapt Ch,99,31,51,17
Registered Voters,,,,Clay,600 - Russell Baptist Church,5525,,,
Ballots Cast,,,,Clay,600 - Russell Baptist Church,4314,1081,2269,964
Ballots Cast Blank,,,,Clay,600 - Russell Baptist Church,81,17,42,22
Donald J Trump,President ,,REP,Clay,600 - Russell Baptist Church,3119,889,1731,499
Joseph R Biden,President ,,DEM,Clay,600 - Russell Baptist Church,1103,164,508,431
Jo Jorgensen ,President ,,LPF,Clay,600 - Russell Baptist Church,69,22,27,20
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,600 - Russell Baptist Church,2,0,1,1
Gloria La Riva ,President ,,PSL,Clay,600 - Russell Baptist Church,1,1,0,0
Howie Hawkins,President ,,GRE,Clay,600 - Russell Baptist Church,3,0,2,1
Don Blankenship,President ,,CPF,Clay,600 - Russell Baptist Church,0,0,0,0
Write-In,President ,,NPA,Clay,600 - Russell Baptist Church,10,4,0,6
Over Votes,President ,,,Clay,600 - Russell Baptist Church,4,0,0,4
Under Votes,President ,,,Clay,600 - Russell Baptist Church,3,1,0,2
Kat Cammack,US House,3,REP,Clay,600 - Russell Baptist Church,3105,894,1724,487
Adam Christensen,US House,3,DEM,Clay,600 - Russell Baptist Church,1120,159,507,454
Over Votes,US House,3,,Clay,600 - Russell Baptist Church,0,0,0,0
Under Votes,US House,3,,Clay,600 - Russell Baptist Church,89,28,38,23
Jennifer Bradley,State Senate,5,REP,Clay,600 - Russell Baptist Church,3182,897,1742,543
Melina Rayna Barratt,State Senate,5,DEM,Clay,600 - Russell Baptist Church,1005,149,473,383
Over Votes,State Senate,5,,Clay,600 - Russell Baptist Church,1,0,1,0
Under Votes,State Senate,5,,Clay,600 - Russell Baptist Church,126,35,53,38
Sam Garrison,State House,18,REP,Clay,600 - Russell Baptist Church,3043,854,1677,512
