county,party,office,district,candidate,votes,election_day,absentee,early_voting,provisional
Bay,DEM,State House,6,Alicia  Bays,23848,13062,10786,,
Calhoun,REP,State House,7,Jason  Shoaf,5105,,,,
Franklin,REP,State House,7,Jason  Shoaf,4738,,,,
Gulf,REP,State House,7,Jason  Shoaf,6341,,,,
Jefferson,REP,State House,7,Jason  Shoaf,4673,,,,
Lafayette,REP,State House,7,Jason  Shoaf,3094,,,,
Leon,REP,State House,7,Jason  Shoaf,2727,,,,
Liberty,REP,State House,7,Jason  Shoaf,2680,,,,
Madison,REP,State House,7,Jason  Shoaf,5583,,,,
Taylor,REP,State House,7,Jason  Shoaf,7811,,,,
Wakulla,REP,State House,7,Jason  Shoaf,13089,,,,
Calhoun,DEM,State House,7,Taymour  Khan,1066,,,,
Franklin,DEM,State House,7,Taymour  Khan,1800,,,,
Gulf,DEM,State House,7,Taymour  Khan,1587,,,,
Jefferson,DEM,State House,7,Taymour  Khan,3572,,,,
Lafayette,DEM,State House,7,Taymour  Khan,457,,,,
Leon,DEM,State House,7,Taymour  Khan,1489,,,,
Liberty,DEM,State House,7,Taymour  Khan,608,,,,
Madison,DEM,State House,7,Taymour  Khan,3471,,,,
Taylor,DEM,State House,7,Taymour  Khan,2036,,,,
Wakulla,DEM,State House,7,Taymour  Khan,4610,,,,
Leon,REP,State House,9,Jim  Kallinger,42901,,,,
Leon,DEM,State House,9,Allison  Tant,58868,,,,
Alachua,REP,State House,10,Chuck  Brannan,2367,,,,
Baker,REP,State House,10,Chuck  Brannan,12001,3403,2173,6425,0
Columbia,REP,State House,10,Chuck  Brannan,24236,,,,
Hamilton,REP,State House,10,Chuck  Brannan,3842,,,,
Suwannee,REP,State House,10,Chuck  Brannan,16426,,,,
Alachua,DEM,State House,10,Rock  Aboujaoude,1284,231,655,398,0
Baker,DEM,State House,10,Rock  Aboujaoude,1830,547,601,682,0
Columbia,DEM,State House,10,Rock  Aboujaoude,7683,,,,
Hamilton,DEM,State House,10,Rock  Aboujaoude,1772,,,,
Suwannee,DEM,State House,10,Rock  Aboujaoude,3887,,,,
Duval,REP,State House,11,Cord  Byrd,34195,,,,
Nassau,REP,State House,11,Cord  Byrd,42227,,,,
Duval,DEM,State House,11,Joshua  Hicks,20579,,,,
Nassau,DEM,State House,11,Joshua  Hicks,15107,,,,
Duval,REP,State House,12,Clay  Yarborough,51715,,,,
Duval,DEM,State House,12,Emmanuel  Blimie,34391,,,,
Duval,REP,State House,15,Wyman  Duggan,45360,,,,
Duval,DEM,State House,15,Tammyette  Thomas,39000,,,,
Duval,REP,State House,16,Jason  Fischer,59549,,,,
Duval,DEM,State House,16,Ben  Marcus,43901,,,,
St. Johns,REP,State House,17,Cyndi  Stevenson,97932,,,,
St. Johns,DEM,State House,17,Dave  Rogers,46685,,,,
Clay,REP,State House,18,Sam  Garrison,64759,13662,13353,37744,
Clay,DEM,State House,18,Leroy Anthony Edwards,28457,3745,11020,13692,
Clay,LPF,State House,18,Ken  Willey,3099,838,845,1416,
Bradford,REP,State House,19,Bobby  Payne,9761,3441,2424,3896,0
Clay,REP,State House,19,Bobby  Payne,18701,4430,4800,9471,
Putnam,REP,State House,19,Bobby  Payne,24885,,,,
Union,REP,State House,19,Bobby  Payne,4837,,,,
Bradford,DEM,State House,19,Kimberly  Dugger,3286,,,,
Clay,DEM,State House,19,Kimberly  Dugger,6167,814,3374,1979,
Putnam,DEM,State House,19,Kimberly  Dugger,10619,,,,
Union,DEM,State House,19,Kimberly  Dugger,1187,,,,
Alachua,REP,State House,21,Chuck  Clemons,34151,8865,10490,14749,47
Dixie,REP,State House,21,Chuck  Clemons,6731,,,,
Gilchrist,REP,State House,21,Chuck  Clemons,8001,,,,
Alachua,DEM,State House,21,Kayser  Enneking,44114,4309,24091,15653,61
Dixie,DEM,State House,21,Kayser  Enneking,1165,,,,
Gilchrist,DEM,State House,21,Kayser  Enneking,1538,,,,
Levy,REP,State House,22,Joe  Harding,16536,,,,
Marion,REP,State House,22,Joe  Harding,46984,,,,
Levy,DEM,State House,22,Barbara  Byram,5828,,,,
Marion,DEM,State House,22,Barbara  Byram,29183,,,,
Marion,REP,State House,23,Stan  McClain,58787,,,,
Marion,DEM,State House,23,Cynthia  Dela Rosa,28882,,,,
Flagler,REP,State House,24,Paul  Renner,42186,8154,14156,19876,
St. Johns,REP,State House,24,Paul  Renner,16290,,,,
Volusia,REP,State House,24,Paul  Renner,12408,,,,
Flagler,DEM,State House,24,Adam  Morley,26345,2849,16101,7395,
St. Johns,DEM,State House,24,Adam  Morley,9074,,,,
Volusia,DEM,State House,24,Adam  Morley,6134,,,,
Volusia,REP,State House,25,Tom  Leek,65675,,,,
Volusia,DEM,State House,25,Sarah  Zutter,36696,,,,
Volusia,LPF,State House,25,Joseph 'Joe' Hannoush,2407,,,,
Volusia,REP,State House,26,Elizabeth  Fetterhoff,44278,,,,
Volusia,DEM,State House,26,Patrick  Henry,39164,,,,
Volusia,REP,State House,27,Webster  Barnaby,49486,,,,
Volusia,DEM,State House,27,Dolores  Guzman,38583,,,,
Seminole,REP,State House,28,David  Smith,51350,,,,
Seminole,DEM,State House,28,Pasha  Baker,45288,,,,
Seminole,NPA,State House,28,Michael A. Riccio,2049,,,,
Seminole,REP,State House,29,Scott  Plakon,48411,,,,
Seminole,DEM,State House,29,Tracey  Kagan,44619,,,,
Seminole,NPA,State House,29,Juan  Rodriguez,2760,,,,
Orange,REP,State House,30,Bob  Cortes,13136,3341,4646,5146,3
Seminole,REP,State House,30,Bob  Cortes,28316,,,,
Orange,DEM,State House,30,Joy  Goff-Marcil,16468,2134,8482,5850,2
Seminole,DEM,State House,30,Joy  Goff-Marcil,30245,,,,
Lake,REP,State House,31,Keith  Truenow,41223,,,,
Orange,REP,State House,31,Keith  Truenow,17088,4378,5578,7130,2
Lake,DEM,State House,31,Crissy  Stile,23424,,,,
Orange,DEM,State House,31,Crissy  Stile,15979,2154,7918,5905,2
Lake,REP,State House,32,Anthony  Sabatini,63164,,,,
Lake,DEM,State House,32,Stephanie L. Dukes,50226,,,,
Lake,REP,State House,33,Brett T. Hage,18464,,,,
Marion,REP,State House,33,Brett T. Hage,12365,,,,
Sumter,REP,State House,33,Brett T. Hage,62817,,,,
Lake,DEM,State House,33,Mamie 'Dee' Melvin,8594,,,,
Marion,DEM,State House,33,Mamie 'Dee' Melvin,5198,,,,
Sumter,DEM,State House,33,Mamie 'Dee' Melvin,26578,,,,
Citrus,REP,State House,34,Ralph E. Massullo,67670,,,,
Hernando,REP,State House,34,Ralph E. Massullo,8075,2005,3100,2967,3
Citrus,DEM,State House,34,Dushyant Jethagir Gosai,22081,,,,
Hernando,DEM,State House,34,Dushyant Jethagir Gosai,2988,312,1968,707,1
Hernando,REP,State House,35,Blaise  Ingoglia,60733,16328,20773,23607,25
Hernando,DEM,State House,35,Keith G. Laufenberg,33761,5090,19795,8855,21
Pasco,REP,State House,36,Amber  Mariano,51432,,,,
Pasco,DEM,State House,36,Daniel  Endonino,29726,,,,
Pasco,REP,State House,37,Ardian  Zika,71722,,,,
Pasco,DEM,State House,37,Tammy  Garcia,42436,,,,
Pasco,REP,State House,38,Randy  Maggard,57794,,,,
Pasco,DEM,State House,38,Brian  Staver,40642,,,,
Osceola,REP,State House,39,Josie  Tomkow,8479,,,,
Polk,REP,State House,39,Josie  Tomkow,48970,,,,
Osceola,DEM,State House,39,Chris  Cause,10356,,,,
Polk,DEM,State House,39,Chris  Cause,29882,,,,
Polk,REP,State House,40,Colleen  Burton,45004,,,,
Polk,DEM,State House,40,Jan  Barrow,31555,,,,
Polk,NPA,State House,40,Emily  Michie,2786,,,,
Polk,REP,State House,41,Sam  Killebrew,51477,,,,
Polk,DEM,State House,41,Jared  West,45050,,,,
Osceola,REP,State House,42,Fred  Hawkins,29842,,,,
Polk,REP,State House,42,Fred  Hawkins,16773,,,,
Osceola,DEM,State House,42,Barbara Ann Cady,30940,,,,
Polk,DEM,State House,42,Barbara Ann Cady,14515,,,,
Osceola,NPA,State House,42,Leroy  Sanchez,6474,,,,
Polk,NPA,State House,42,Leroy  Sanchez,1000,,,,
Orange,REP,State House,44,Bruno  Portigliatti,55950,9902,17882,28152,14
Orange,DEM,State House,44,Geraldine F. Thompson,61564,5340,32526,23688,10
Orange,REP,State House,47,Jeremy  Sisson,41321,10083,14439,16779,20
Orange,DEM,State House,47,Anna V. Eskamani,59494,7023,31260,21193,18
Orange,REP,State House,48,Jesus  Martinez,25197,5231,8710,11247,9
Orange,DEM,State House,48,Daisy  Morales,47341,6604,23419,17302,16
Orange,REP,State House,49,Robert  Prater,29357,6874,9819,12655,9
Orange,DEM,State House,49,Carlos Guillermo Smith,47759,6846,23218,17680,15
Brevard,REP,State House,50,Rene 'Coach P' Plasencia,27269,,,,
Orange,REP,State House,50,Rene 'Coach P' Plasencia,35521,9712,11820,13978,11
Brevard,DEM,State House,50,Nina  Yoakum,13212,,,,
Orange,DEM,State House,50,Nina  Yoakum,33792,4353,17252,12186,1
Brevard,REP,State House,51,Tyler  Sirois,59405,,,,
Brevard,DEM,State House,51,Joan Marie Majid,36694,,,,
Brevard,REP,State House,52,Thad  Altman,70949,,,,
Brevard,DEM,State House,52,Lloyd  Dabbs,42912,,,,
Brevard,REP,State House,53,Randy  Fine,55938,,,,
Brevard,DEM,State House,53,Phil  Moore,44794,,,,
Brevard,WRI,State House,53,Thomas Patrick Unger,13,,,,
Indian River,REP,State House,54,Erin  Grall,63052,,,,
St. Lucie,REP,State House,54,Erin  Grall,6292,,,,
Indian River,DEM,State House,54,Albert M. Griffiths,31445,,,,
St. Lucie,DEM,State House,54,Albert M. Griffiths,4419,,,,
Glades,REP,State House,55,Kaylee  Tuck,3749,,,,
Highlands,REP,State House,55,Kaylee  Tuck,34720,,,,
Okeechobee,REP,State House,55,Kaylee  Tuck,11444,,,,
St. Lucie,REP,State House,55,Kaylee  Tuck,2033,,,,
Glades,DEM,State House,55,Linda  Tripp,1354,,,,
Highlands,DEM,State House,55,Linda  Tripp,16220,,,,
Okeechobee,DEM,State House,55,Linda  Tripp,4137,,,,
St. Lucie,DEM,State House,55,Linda  Tripp,764,,,,
Glades,WRI,State House,55,Jacob  Hensley,0,,,,
Highlands,WRI,State House,55,Jacob  Hensley,3,,,,
Okeechobee,WRI,State House,55,Jacob  Hensley,0,,,,
St. Lucie,WRI,State House,55,Jacob  Hensley,0,,,,
Desoto,REP,State House,56,Melony  Bell,8216,,,,
Hardee,REP,State House,56,Melony  Bell,6156,,,,
Polk,REP,State House,56,Melony  Bell,31025,,,,
Desoto,DEM,State House,56,James  Davis,4018,,,,
Hardee,DEM,State House,56,James  Davis,2153,,,,
Polk,DEM,State House,56,James  Davis,15898,,,,
Hillsborough,REP,State House,57,Mike  Beltran,67139,,,,
Hillsborough,DEM,State House,57,Scott 'Mr. H' Hottenstein,56144,,,,
Hillsborough,REP,State House,58,Lawrence  McClure,40873,,,,
Hillsborough,DEM,State House,58,Cleo L. 'CL' Townsend,32435,,,,
Hillsborough,REP,State House,59,Michael  Owen,44413,,,,
Hillsborough,DEM,State House,59,Andrew  Learned,45683,,,,
Hillsborough,REP,State House,60,Jackie  Toledo,57502,,,,
Hillsborough,DEM,State House,60,Julie  Jenkins,48352,,,,
Hillsborough,REP,State House,62,Angel S. Urbina Capo,25136,,,,
Hillsborough,DEM,State House,62,Susan L. Valdes,38403,,,,
Hillsborough,NPA,State House,62,Laurie  Rodriguez-Person,3183,,,,
Hillsborough,REP,State House,64,Traci  Koster,37735,,,,
Pinellas,REP,State House,64,Traci  Koster,18139,,,,
Hillsborough,DEM,State House,64,Jessica  Harrington,33009,,,,
Pinellas,DEM,State House,64,Jessica  Harrington,14417,,,,
Pinellas,REP,State House,65,Chris  Sprowls,63787,,,,
Pinellas,DEM,State House,65,Kelly  Johnson,40539,,,,
Pinellas,REP,State House,66,Nick  DiCeglie,56074,,,,
Pinellas,DEM,State House,66,Patricia M. Plantamura,39522,,,,
Pinellas,REP,State House,67,Chris  Latvala,47018,,,,
Pinellas,DEM,State House,67,Dawn  Douglas,35457,,,,
Pinellas,REP,State House,68,Matt  Tito,42785,,,,
Pinellas,DEM,State House,68,Ben  Diamond,49905,,,,
Pinellas,REP,State House,69,Linda  Chaney,51400,,,,
Pinellas,DEM,State House,69,Jennifer N. Webb,46572,,,,
Manatee,REP,State House,71,Will  Robinson,43754,,,,
Sarasota,REP,State House,71,Will  Robinson,7997,,,,
Manatee,DEM,State House,71,Andy  Mele,29375,,,,
Sarasota,DEM,State House,71,Andy  Mele,8370,,,,
Sarasota,REP,State House,72,Fiona  McFarland,54902,,,,
Sarasota,DEM,State House,72,Drake  Buckman,45617,,,,
Manatee,REP,State House,73,Tommy  Gregory,78198,,,,
Sarasota,REP,State House,73,Tommy  Gregory,12305,,,,
Manatee,DEM,State House,73,David Reeves Fairey,43588,,,,
Sarasota,DEM,State House,73,David Reeves Fairey,6234,,,,
Sarasota,REP,State House,74,James  Buchanan,73420,,,,
Sarasota,DEM,State House,74,Lisa  Stortstrom,44858,,,,
Charlotte,REP,State House,75,Michael  Grant,72913,,,,
Charlotte,DEM,State House,75,David G. Jones,39972,,,,
Lee,REP,State House,76,Adam  Botana,68286,,,,
Lee,DEM,State House,76,Anselm  Weber,35960,,,,
Lee,REP,State House,77,Mike  Giallombardo,66165,,,,
Lee,DEM,State House,77,Joshua  Lopez,36797,,,,
Lee,REP,State House,78,Jenna  Persons,52464,,,,
Lee,DEM,State House,78,Shawn Michael Williams,38792,,,,
Lee,REP,State House,79,Spencer  Roach,46239,,,,
Lee,DEM,State House,79,Danika  Fornear,29933,,,,
Collier,REP,State House,80,Lauren Uhlich Melo,47426,,,,
Hendry,REP,State House,80,Lauren Uhlich Melo,7433,1650,1605,4178,0
Collier,DEM,State House,80,Laura  Novosad,25797,,,,
Hendry,DEM,State House,80,Laura  Novosad,4950,1034,1537,2379,0
Palm Beach,REP,State House,81,Saulis  Banionis,36126,,,,
Palm Beach,DEM,State House,81,Kelly  Skidmore,52204,,,,
Martin,REP,State House,82,John  Snyder,38693,,,,
Palm Beach,REP,State House,82,John  Snyder,26186,,,,
Martin,DEM,State House,82,Elisa Edwards Ackerly,18028,,,,
Palm Beach,DEM,State House,82,Elisa Edwards Ackerly,17108,,,,
Martin,REP,State House,83,Toby  Overdorf,25467,,,,
St. Lucie,REP,State House,83,Toby  Overdorf,33526,,,,
Martin,DEM,State House,83,Edgar 'EJ' Bernier,13513,,,,
St. Lucie,DEM,State House,83,Edgar 'EJ' Bernier,32534,,,,
St. Lucie,REP,State House,84,Dana  Trabulsy,46373,,,,
St. Lucie,DEM,State House,84,Delores  Hogan Johnson,41179,,,,
Palm Beach,REP,State House,85,Rick  Roth,61107,,,,
Palm Beach,DEM,State House,85,Jim  Carroll,47008,,,,
Palm Beach,REP,State House,86,Susan M. Kufdakis Rivera,37911,,,,
Palm Beach,DEM,State House,86,Matt  Willhite,49820,,,,
Palm Beach,REP,State House,87,Herb  Sennett,18254,,,,
Palm Beach,DEM,State House,87,David  Silvers,30537,,,,
Palm Beach,REP,State House,88,Danielle  Madsen,16396,,,,
Palm Beach,DEM,State House,88,Omari  Hardy,53248,,,,
Palm Beach,NPA,State House,88,Rubin  Anderson,2487,,,,
Palm Beach,REP,State House,89,Mike  Caruso,56409,,,,
Palm Beach,DEM,State House,89,Jim  Bonfiglio,45168,,,,
Palm Beach,REP,State House,90,Lydia  Maldonado,35537,,,,
Palm Beach,DEM,State House,90,Joseph A. Casello,52386,,,,
Palm Beach,REP,State House,91,Sayd  Hussain,38763,,,,
Palm Beach,DEM,State House,91,Emily Ann Slosberg,68053,,,,
Broward,DEM,State House,92,Patricia  Hawkins-Williams,49496,5562,26162,17763,9
Broward,NPA,State House,92,Nancy  St. Clair,11485,2469,4583,4431,2
Broward,REP,State House,93,Chip  LaMarca,54593,9995,20977,23607,14
Broward,DEM,State House,93,Linda Thompson Gonzalez,44239,3378,27357,13496,8
Broward,REP,State House,101,Vincent 'Vinny' Parlatore,17935,3593,6149,8190,3
Broward,DEM,State House,101,Marie  Woodson,51222,6291,26669,18254,8
Broward,REP,State House,103,Tom  Fabricio,7086,819,2781,3485,1
Miami-Dade,REP,State House,103,Tom  Fabricio,34640,,,,
Broward,DEM,State House,103,Cindy  Polo,14612,999,8396,5216,1
Miami-Dade,DEM,State House,103,Cindy  Polo,20686,,,,
Broward,REP,State House,104,George  Navarini,36921,4719,12823,19368,11
Broward,DEM,State House,104,Robin  Bartleman,50865,3150,30577,17131,7
Broward,REP,State House,105,David  Borrero,3577,454,1300,1822,1
Collier,REP,State House,105,David  Borrero,13152,,,,
Miami-Dade,REP,State House,105,David  Borrero,21708,,,,
Broward,DEM,State House,105,Maureen  Porras,5985,430,3393,2162,0
Collier,DEM,State House,105,Maureen  Porras,9932,,,,
Miami-Dade,DEM,State House,105,Maureen  Porras,17249,,,,
Collier,REP,State House,106,Bob  Rommel,69786,,,,
Collier,DEM,State House,106,Sara  McFadden,36063,,,,
Miami-Dade,REP,State House,110,Alex  Rizo,34023,,,,
Miami-Dade,DEM,State House,110,Annette  Collazo,22891,,,,
Miami-Dade,REP,State House,111,Bryan  Avila,32443,,,,
Miami-Dade,DEM,State House,111,Ross Elde Hancock,17567,,,,
Miami-Dade,REP,State House,112,Bruno A. Barreiro,35515,,,,
Miami-Dade,DEM,State House,112,Nicholas Xavier Duran,40063,,,,
Miami-Dade,REP,State House,114,Demi Busatta Cabrera,43443,,,,
Miami-Dade,DEM,State House,114,Jean-Pierre  Bado,36434,,,,
Miami-Dade,REP,State House,115,Vance  Aloupis,47544,,,,
Miami-Dade,DEM,State House,115,Franccesca  Cesti-Browne,35412,,,,
Miami-Dade,REP,State House,116,Daniel A. Perez,48804,,,,
Miami-Dade,DEM,State House,116,Bob  Lynch,28924,,,,
Miami-Dade,WRI,State House,116,Manuel  Rodriguez,11,,,,
Miami-Dade,REP,State House,118,Anthony  Rodriguez,47017,,,,
Miami-Dade,DEM,State House,118,Ricky  Junquera,31261,,,,
Miami-Dade,REP,State House,119,Juan  Fernandez-Barquin,50810,,,,
Miami-Dade,DEM,State House,119,Imtiaz Ahmad Mohammad,26979,,,,
Miami-Dade,REP,State House,120,James 'Jim' Vernon Mooney,19206,,,,
Monroe,REP,State House,120,James 'Jim' Vernon Mooney,26492,,,,
Miami-Dade,DEM,State House,120,Clint  Barras,17544,,,,
Monroe,DEM,State House,120,Clint  Barras,19882,,,,
Flagler,,Registered Voters,,,91916,,,,
Flagler,,Ballots Cast,,,72224,11806,31881,28537,
Flagler,,President,,Over Votes,92,16,0,76,
Flagler,,President,,Under Votes,269,21,210,38,
Flagler,,U.S. House,6,Over Votes,10,1,0,9,
Flagler,,U.S. House,6,Under Votes,2555,612,1022,921,
Flagler,,State Senate,7,Over Votes,9,2,0,7,
Flagler,,State Senate,7,Under Votes,3612,824,1443,1345,
Flagler,,State House,24,Over Votes,4,1,0,3,
Flagler,,State House,24,Under Votes,3667,802,1602,1263,
Leon,,Registered Voters,,,217454,,,,
Leon,,Ballots Cast,,,164233,31896,67342,64995,
Leon,,President,,Over Votes,134,9,119,6,
Leon,,President,,Under Votes,623,164,313,146,
Leon,,U.S. House,2,Over Votes,1,1,0,0,
Leon,,U.S. House,2,Under Votes,21774,2448,12321,7005,
Leon,,U.S. House,5,Over Votes,1,0,0,1,
Leon,,U.S. House,5,Under Votes,2062,545,725,792,
Leon,,State Senate,3,Over Votes,6,2,3,1,
Leon,,State Senate,3,Under Votes,4899,1236,1810,1853,
Leon,,State House,7,Over Votes,0,0,0,0,
Leon,,State House,7,Under Votes,246,54,84,108,
Leon,,State House,9,Over Votes,4,1,2,1,
Leon,,State House,9,Under Votes,4938,1130,2137,1671,
Broward,DEM,State House,96,Christine Hunschofsky,66892,6965,37645,22274,8
Clay,,Registered Voters,,,164745,,,,
Clay,,Ballots Cast,,,125056,24448,34561,66047,
Clay,,Ballots Cast Blank,,,2825,666,736,1423,
Clay,,President,,Over Votes,156,15,114,27,
Clay,,President,,Under Votes,240,39,93,108,
Clay,,U.S. House,3,Over Votes,22,4,5,13,
Clay,,U.S. House,3,Under Votes,2773,693,829,1251,
Clay,,State Senate,5,Over Votes,6,1,1,4,
Clay,,State Senate,5,Under Votes,3786,890,1202,1694,
Clay,,State House,18,Over Votes,8,5,2,1,
Clay,,State House,18,Under Votes,3008,733,832,1443,
Clay,,State House,19,Over Votes,5,2,1,2,
Clay,,State House,19,Under Votes,852,219,334,299,
Baker,,President,,Over Votes,17,,,,
Baker,,President,,Under Votes,35,,,,
Baker,,U.S. House,5,Over Votes,2,,,,
Baker,,U.S. House,5,Under Votes,327,112,75,140,0
Baker,,State Senate,5,Over Votes,1,,,,
Baker,,State Senate,5,Under Votes,470,152,114,204,0
Baker,,State House,10,Over Votes,1,,,,
Baker,,State House,10,Under Votes,302,89,77,136,0
Bay,,President,,Over Votes,101,31,70,,
Bay,,President,,Under Votes,190,109,81,,
Bay,,U.S. House,2,Over Votes,28,,,,
Bay,,U.S. House,2,Under Votes,11319,6396,4923,,
Bay,,State House,6,Over Votes,10,,,,
Bay,,State House,6,Under Votes,2800,1778,1022,,
Hernando,,Ballots Cast,,,109862,24934,47444,37427,57
Orange,,Registered Voters,,,866460,,,,
Orange,,Ballots Cast,,,653106,109784,280194,262944,18
Orange,,Ballots Cast Blank,,,22719,5014,7418,10272,15
Orange,,President,,Over Votes,2079,121,1735,222,1
Orange,,President,,Under Votes,1870,405,983,482,0
Orange,,U.S. House,7,Over Votes,37,8,11,18,0
Orange,,U.S. House,7,Under Votes,4300,1047,1772,1480,1
Orange,,U.S. House,8,Over Votes,3,0,2,1,0
Orange,,U.S. House,8,Under Votes,224,85,86,53,0
Orange,,State Senate,11,Over Votes,75,11,41,23,0
Orange,,State Senate,11,Under Votes,9485,2057,3921,3504,3
Orange,,State Senate,13,Over Votes,61,10,35,16,0
Orange,,State Senate,13,Under Votes,10119,2475,4128,3512,4
Orange,,State Senate,15,Over Votes,44,12,14,18,0
Orange,,State Senate,15,Under Votes,5956,1120,2667,2165,4
Orange,,State House,30,Over Votes,8,1,4,3,0
Orange,,State House,30,Under Votes,1073,209,524,339,1
Orange,,State House,31,Over Votes,6,1,1,4,0
Orange,,State House,31,Under Votes,1355,342,588,424,1
Orange,,State House,44,Over Votes,17,5,9,3,0
Orange,,State House,44,Under Votes,4461,805,2075,1578,3
Orange,,State House,47,Over Votes,9,1,6,2,0
Orange,,State House,47,Under Votes,3777,796,1793,1188,0
Orange,,State House,48,Over Votes,14,4,4,6,0
Orange,,State House,48,Under Votes,2908,643,1118,1144,3
Orange,,State House,49,Over Votes,10,1,3,6,0
Orange,,State House,49,Under Votes,3267,845,1190,1229,3
Orange,,State House,50,Over Votes,13,5,6,2,0
Orange,,State House,50,Under Votes,2203,516,1001,686,0
Suwannee,,Ballots Cast,,,21171,6346,6173,8624,28
Suwannee,,Ballots Cast Blank,,,1,0,1,0,0
Suwannee,REP,President ,,Donald J Trump,16410,5404,3997,6987,22
Suwannee,DEM,President ,,Joseph R Biden,4485,843,2071,1566,5
Suwannee,LPF,President ,,Jo Jorgensen ,119,59,20,40,0
Suwannee,REF,President ,,De La Fuente ,6,1,3,2,0
Suwannee,PSL,President ,,La Riva ,8,3,4,1,0
Suwannee,GRE,President ,,Howie Hawkins,23,7,11,5,0
Suwannee,CPF,President ,,Don Blankenship,6,2,3,1,0
Suwannee,,President ,,Write-In,0,0,0,0,0
Suwannee,,President ,,Over Votes,45,7,33,5,0
Suwannee,,President ,,Under Votes,43,14,18,11,0
Suwannee,REP,U.S. House,2,Neal Dunn,17971,5722,4765,7461,23
Suwannee,DEM,U.S. House,2,Write-In,156,9,109,38,0
Suwannee,,U.S. House,2,Over Votes,0,0,0,0,0
Suwannee,,U.S. House,2,Under Votes,2581,533,1103,940,5
Suwannee,REP,State Senate ,5,Jennifer Bradley,16260,5286,4063,6889,22
Suwannee,DEM,State Senate ,5,Melina Rayna Barratt,4166,844,1865,1452,5
Suwannee,,State Senate ,5,Over Votes,7,6,0,1,0
Suwannee,,State Senate ,5,Under Votes,738,210,245,282,1
Suwannee,REP,State House,10,Chuck Brannan,16426,5366,4114,6923,23
Suwannee,DEM,State House,10,Rock Aboujaoude Jr,3887,763,1772,1349,3
Suwannee,,State House,10,Over Votes,3,0,0,3,0
Suwannee,,State House,10,Under Votes,855,217,287,349,2
