county,precinct,office,district,party,candidate,votes,early_voting,absentee,election_day,provisional
Union,1A & 1B,Registered Voters,,,,1256,,,,
Union,1A & 1B,Ballots Cast,,,,1030,609,196,225,0
Union,1A & 1B,Ballots Cast Blank,,,,1,0,1,0,0
Union,1A & 1B,President,,REP,Donald J Trump,863,518,148,197,0
Union,1A & 1B,President,,DEM,Joseph R Biden,151,81,46,24,0
Union,1A & 1B,President,,LPF,Jo Jorgensen,8,4,1,3,0
Union,1A & 1B,President,,REF,De La Fuente,1,1,0,0,0
Union,1A & 1B,President,,PSL,La Riva,0,0,0,0,0
Union,1A & 1B,President,,GRE,Howie Hawkins,1,1,0,0,0
Union,1A & 1B,President,,CPF,Don Blankenship,1,1,0,0,0
Union,1A & 1B,President,,,Write-In,1,1,0,0,0
Union,1A & 1B,President,,,Over Votes,1,1,0,0,0
Union,1A & 1B,President,,,Under Votes,3,1,1,1,0
Union,1A & 1B,U.S. House,3,REP,Kat Cammack,823,506,134,183,0
Union,1A & 1B,U.S. House,3,DEM,Adam Christensen,184,91,59,34,0
Union,1A & 1B,U.S. House,3,,Over Votes,0,0,0,0,0
Union,1A & 1B,U.S. House,3,,Under Votes,23,12,3,8,0
Union,1A & 1B,State Senate,5,REP,Jennifer Bradley,838,510,140,188,0
Union,1A & 1B,State Senate,5,DEM,Melina Rayna Barratt,159,82,51,26,0
Union,1A & 1B,State Senate,5,,Over Votes,0,0,0,0,0
Union,1A & 1B,State Senate,5,,Under Votes,33,17,5,11,0
Union,1A & 1B,State House,19,REP,Bobby Payne,819,500,135,184,0
Union,1A & 1B,State House,19,DEM,Kimberly Dugger,178,92,55,31,0
Union,1A & 1B,State House,19,,Over Votes,0,0,0,0,0
Union,1A & 1B,State House,19,,Under Votes,33,17,6,10,0
Union,2A & 2B,Registered Voters,,,,1142,,,,
Union,2A & 2B,Ballots Cast,,,,887,370,171,346,0
Union,2A & 2B,Ballots Cast Blank,,,,0,0,0,0,0
Union,2A & 2B,President,,REP,Donald J Trump,747,319,130,298,0
Union,2A & 2B,President,,DEM,Joseph R Biden,129,48,38,43,0
Union,2A & 2B,President,,LPF,Jo Jorgensen,3,0,3,0,0
Union,2A & 2B,President,,REF,De La Fuente,0,0,0,0,0
Union,2A & 2B,President,,PSL,La Riva,0,0,0,0,0
Union,2A & 2B,President,,GRE,Howie Hawkins,0,0,0,0,0
Union,2A & 2B,President,,CPF,Don Blankenship,0,0,0,0,0
Union,2A & 2B,President,,,Write-In,0,0,0,0,0
Union,2A & 2B,President,,,Over Votes,3,1,0,2,0
Union,2A & 2B,President,,,Under Votes,5,2,0,3,0
Union,2A & 2B,U.S. House,3,REP,Kat Cammack,724,315,125,284,0
Union,2A & 2B,U.S. House,3,DEM,Adam Christensen,138,46,45,47,0
Union,2A & 2B,U.S. House,3,,Over Votes,1,0,0,1,0
Union,2A & 2B,U.S. House,3,,Under Votes,24,9,1,14,0
Union,2A & 2B,State Senate,5,REP,Jennifer Bradley,726,307,129,290,0
Union,2A & 2B,State Senate,5,DEM,Melina Rayna Barratt,129,46,42,41,0
Union,2A & 2B,State Senate,5,,Over Votes,0,0,0,0,0
Union,2A & 2B,State Senate,5,,Under Votes,32,17,0,15,0
Union,2A & 2B,State House,19,REP,Bobby Payne,693,293,127,273,0
Union,2A & 2B,State House,19,DEM,Kimberly Dugger,159,59,44,56,0
Union,2A & 2B,State House,19,,Over Votes,1,0,0,1,0
Union,2A & 2B,State House,19,,Under Votes,34,18,0,16,0
Union,3A & 3B,Registered Voters,,,,1715,,,,
Union,3A & 3B,Ballots Cast,,,,1389,663,265,459,2
Union,3A & 3B,Ballots Cast Blank,,,,0,0,0,0,0
Union,3A & 3B,President,,REP,Donald J Trump,1161,575,181,404,1
Union,3A & 3B,President,,DEM,Joseph R Biden,204,83,74,46,1
Union,3A & 3B,President,,LPF,Jo Jorgensen,12,1,6,5,0
Union,3A & 3B,President,,REF,De La Fuente,1,0,0,1,0
Union,3A & 3B,President,,PSL,La Riva,2,2,0,0,0
Union,3A & 3B,President,,GRE,Howie Hawkins,1,0,1,0,0
Union,3A & 3B,President,,CPF,Don Blankenship,1,0,1,0,0
Union,3A & 3B,President,,,Write-In,1,1,0,0,0
Union,3A & 3B,President,,,Over Votes,0,0,0,0,0
Union,3A & 3B,President,,,Under Votes,6,1,2,3,0
Union,3A & 3B,U.S. House,3,REP,Kat Cammack,1121,551,176,393,1
Union,3A & 3B,U.S. House,3,DEM,Adam Christensen,232,101,74,56,1
Union,3A & 3B,U.S. House,3,,Over Votes,0,0,0,0,0
Union,3A & 3B,U.S. House,3,,Under Votes,36,11,15,10,0
Union,3A & 3B,State Senate,5,REP,Jennifer Bradley,1151,558,188,404,1
Union,3A & 3B,State Senate,5,DEM,Melina Rayna Barratt,191,88,60,42,1
Union,3A & 3B,State Senate,5,,Over Votes,0,0,0,0,0
Union,3A & 3B,State Senate,5,,Under Votes,47,17,17,13,0
Union,3A & 3B,State House,19,REP,Bobby Payne,1115,545,177,392,1
Union,3A & 3B,State House,19,DEM,Kimberly Dugger,221,98,69,53,1
Union,3A & 3B,State House,19,,Over Votes,0,0,0,0,0
Union,3A & 3B,State House,19,,Under Votes,53,20,19,14,0
Union,3C,Registered Voters,,,,304,,,,
Union,3C,Ballots Cast,,,,245,131,48,66,0
Union,3C,Ballots Cast Blank,,,,0,0,0,0,0
Union,3C,President,,REP,Donald J Trump,219,123,38,58,0
Union,3C,President,,DEM,Joseph R Biden,25,8,10,7,0
Union,3C,President,,LPF,Jo Jorgensen,0,0,0,0,0
Union,3C,President,,REF,De La Fuente,0,0,0,0,0
Union,3C,President,,PSL,La Riva,1,0,0,1,0
Union,3C,President,,GRE,Howie Hawkins,0,0,0,0,0
Union,3C,President,,CPF,Don Blankenship,0,0,0,0,0
Union,3C,President,,,Write-In,0,0,0,0,0
Union,3C,President,,,Over Votes,0,0,0,0,0
Union,3C,President,,,Under Votes,0,0,0,0,0
Union,3C,U.S. House,3,REP,Kat Cammack,207,117,37,53,0
Union,3C,U.S. House,3,DEM,Adam Christensen,30,11,9,10,0
Union,3C,U.S. House,3,,Over Votes,0,0,0,0,0
Union,3C,U.S. House,3,,Under Votes,8,3,2,3,0
Union,3C,State Senate,5,REP,Jennifer Bradley,204,113,35,56,0
Union,3C,State Senate,5,DEM,Melina Rayna Barratt,24,9,10,5,0
Union,3C,State Senate,5,,Over Votes,0,0,0,0,0
Union,3C,State Senate,5,,Under Votes,17,9,3,5,0
Union,3C,State House,19,REP,Bobby Payne,201,108,38,55,0
Union,3C,State House,19,DEM,Kimberly Dugger,32,17,9,6,0
Union,3C,State House,19,,Over Votes,0,0,0,0,0
Union,3C,State House,19,,Under Votes,12,6,1,5,0
Union,4A & 4C,Registered Voters,,,,796,,,,
Union,4A & 4C,Ballots Cast,,,,663,397,126,140,0
Union,4A & 4C,Ballots Cast Blank,,,,0,0,0,0,0
Union,4A & 4C,President,,REP,Donald J Trump,487,318,77,92,0
Union,4A & 4C,President,,DEM,Joseph R Biden,165,72,48,45,0
Union,4A & 4C,President,,LPF,Jo Jorgensen,5,3,0,2,0
Union,4A & 4C,President,,REF,De La Fuente,0,0,0,0,0
Union,4A & 4C,President,,PSL,La Riva,0,0,0,0,0
Union,4A & 4C,President,,GRE,Howie Hawkins,0,0,0,0,0
Union,4A & 4C,President,,CPF,Don Blankenship,2,2,0,0,0
Union,4A & 4C,President,,,Write-In,0,0,0,0,0
Union,4A & 4C,President,,,Over Votes,1,0,1,0,0
Union,4A & 4C,President,,,Under Votes,3,2,0,1,0
Union,4A & 4C,U.S. House,3,REP,Kat Cammack,484,314,80,90,0
Union,4A & 4C,U.S. House,3,DEM,Adam Christensen,163,77,44,42,0
Union,4A & 4C,U.S. House,3,,Over Votes,0,0,0,0,0
Union,4A & 4C,U.S. House,3,,Under Votes,16,6,2,8,0
Union,4A & 4C,State Senate,5,REP,Jennifer Bradley,483,312,81,90,0
Union,4A & 4C,State Senate,5,DEM,Melina Rayna Barratt,156,75,40,41,0
Union,4A & 4C,State Senate,5,,Over Votes,0,0,0,0,0
Union,4A & 4C,State Senate,5,,Under Votes,24,10,5,9,0
Union,4A & 4C,State House,19,REP,Bobby Payne,457,307,65,85,0
Union,4A & 4C,State House,19,DEM,Kimberly Dugger,180,80,56,44,0
Union,4A & 4C,State House,19,,Over Votes,0,0,0,0,0
Union,4A & 4C,State House,19,,Under Votes,26,10,5,11,0
Union,4B,Registered Voters,,,,1579,,,,
Union,4B,Ballots Cast,,,,1322,611,246,464,1
Union,4B,Ballots Cast Blank,,,,0,0,0,0,0
Union,4B,President,,REP,Donald J Trump,1062,525,161,375,1
Union,4B,President,,DEM,Joseph R Biden,238,76,82,80,0
Union,4B,President,,LPF,Jo Jorgensen,9,3,1,5,0
Union,4B,President,,REF,De La Fuente,2,1,0,1,0
Union,4B,President,,PSL,La Riva,0,0,0,0,0
Union,4B,President,,GRE,Howie Hawkins,1,1,0,0,0
Union,4B,President,,CPF,Don Blankenship,1,0,0,1,0
Union,4B,President,,,Write-In,2,2,0,0,0
Union,4B,President,,,Over Votes,4,1,2,1,0
Union,4B,President,,,Under Votes,3,2,0,1,0
Union,4B,U.S. House,3,REP,Kat Cammack,1041,512,159,369,1
Union,4B,U.S. House,3,DEM,Adam Christensen,250,86,84,80,0
Union,4B,U.S. House,3,,Over Votes,0,0,0,0,0
Union,4B,U.S. House,3,,Under Votes,31,13,3,15,0
Union,4B,State Senate,5,REP,Jennifer Bradley,1048,510,166,371,1
Union,4B,State Senate,5,DEM,Melina Rayna Barratt,227,81,76,70,0
Union,4B,State Senate,5,,Over Votes,0,0,0,0,0
Union,4B,State Senate,5,,Under Votes,47,20,4,23,0
Union,4B,State House,19,REP,Bobby Payne,1015,500,161,353,1
Union,4B,State House,19,DEM,Kimberly Dugger,254,86,82,86,0
Union,4B,State House,19,,Over Votes,0,0,0,0,0
Union,4B,State House,19,,Under Votes,53,25,3,25,0
Union,5A & 5C,Registered Voters,,,,586,,,,
Union,5A & 5C,Ballots Cast,,,,457,214,117,126,0
Union,5A & 5C,Ballots Cast Blank,,,,0,0,0,0,0
Union,5A & 5C,President,,REP,Donald J Trump,336,167,80,89,0
Union,5A & 5C,President,,DEM,Joseph R Biden,115,44,37,34,0
Union,5A & 5C,President,,LPF,Jo Jorgensen,3,1,0,2,0
Union,5A & 5C,President,,REF,De La Fuente,0,0,0,0,0
Union,5A & 5C,President,,PSL,La Riva,0,0,0,0,0
Union,5A & 5C,President,,GRE,Howie Hawkins,2,1,0,1,0
Union,5A & 5C,President,,CPF,Don Blankenship,0,0,0,0,0
Union,5A & 5C,President,,,Write-In,1,1,0,0,0
Union,5A & 5C,President,,,Over Votes,0,0,0,0,0
Union,5A & 5C,President,,,Under Votes,0,0,0,0,0
Union,5A & 5C,U.S. House,3,REP,Kat Cammack,324,162,72,90,0
Union,5A & 5C,U.S. House,3,DEM,Adam Christensen,116,43,41,32,0
Union,5A & 5C,U.S. House,3,,Over Votes,0,0,0,0,0
Union,5A & 5C,U.S. House,3,,Under Votes,17,9,4,4,0
Union,5A & 5C,State Senate,5,REP,Jennifer Bradley,332,165,76,91,0
Union,5A & 5C,State Senate,5,DEM,Melina Rayna Barratt,106,40,37,29,0
Union,5A & 5C,State Senate,5,,Over Votes,0,0,0,0,0
Union,5A & 5C,State Senate,5,,Under Votes,19,9,4,6,0
Union,5A & 5C,State House,19,REP,Bobby Payne,304,153,68,83,0
Union,5A & 5C,State House,19,DEM,Kimberly Dugger,126,49,41,36,0
Union,5A & 5C,State House,19,,Over Votes,0,0,0,0,0
Union,5A & 5C,State House,19,,Under Votes,27,12,8,7,0
Union,5B,Registered Voters,,,,349,,,,
Union,5B,Ballots Cast,,,,288,124,55,109,0
Union,5B,Ballots Cast Blank,,,,0,0,0,0,0
Union,5B,President,,REP,Donald J Trump,258,112,47,99,0
Union,5B,President,,DEM,Joseph R Biden,26,10,8,8,0
Union,5B,President,,LPF,Jo Jorgensen,2,1,0,1,0
Union,5B,President,,REF,De La Fuente,0,0,0,0,0
Union,5B,President,,PSL,La Riva,0,0,0,0,0
Union,5B,President,,GRE,Howie Hawkins,0,0,0,0,0
Union,5B,President,,CPF,Don Blankenship,0,0,0,0,0
Union,5B,President,,,Write-In,1,1,0,0,0
Union,5B,President,,,Over Votes,0,0,0,0,0
Union,5B,President,,,Under Votes,1,0,0,1,0
Union,5B,U.S. House,3,REP,Kat Cammack,238,108,40,90,0
Union,5B,U.S. House,3,DEM,Adam Christensen,38,13,11,14,0
Union,5B,U.S. House,3,,Over Votes,0,0,0,0,0
Union,5B,U.S. House,3,,Under Votes,12,3,4,5,0
Union,5B,State Senate,5,REP,Jennifer Bradley,243,106,43,94,0
Union,5B,State Senate,5,DEM,Melina Rayna Barratt,30,15,8,7,0
Union,5B,State Senate,5,,Over Votes,0,0,0,0,0
Union,5B,State Senate,5,,Under Votes,15,3,4,8,0
Union,5B,State House,19,REP,Bobby Payne,233,104,42,87,0
Union,5B,State House,19,DEM,Kimberly Dugger,37,14,9,14,0
Union,5B,State House,19,,Over Votes,0,0,0,0,0
Union,5B,State House,19,,Under Votes,18,6,4,8,0