county,precinct,office,district,candidate,party,mail,election_day,votes
Bay,PCT 42,U.S. House,2,Neal Dunn,REP,-,-,900
Bay,PCT 43,U.S. House,2,Neal Dunn,REP,-,-,1089
Bay,PCT 44,U.S. House,2,Neal Dunn,REP,-,-,642
Bay,PCT 1,U.S. House,2,Write-In Candidate,,-,-,41
Bay,PCT 2,U.S. House,2,Write-In Candidate,,-,-,29
Bay,PCT 3,U.S. House,2,Write-In Candidate,,-,-,24
Bay,PCT 4,U.S. House,2,Write-In Candidate,,35,30,65
Bay,PCT 5,U.S. House,2,Write-In Candidate,,49,30,79
Bay,PCT 6,U.S. House,2,Write-In Candidate,,40,50,90
Bay,PCT 7,U.S. House,2,Write-In Candidate,,-,-,26
Bay,PCT 8,U.S. House,2,Write-In Candidate,,-,-,162
Bay,PCT 9,U.S. House,2,Write-In Candidate,,85,80,165
Bay,PCT 10,U.S. House,2,Write-In Candidate,,119,98,217
Bay,PCT 11,U.S. House,2,Write-In Candidate,,144,119,263
Bay,PCT 12,U.S. House,2,Write-In Candidate,,-,-,251
Bay,PCT 13,U.S. House,2,Write-In Candidate,,56,64,120
Bay,PCT 14,U.S. House,2,Write-In Candidate,,103,96,199
Bay,PCT 15,U.S. House,2,Write-In Candidate,,60,63,123
Bay,PCT 16,U.S. House,2,Write-In Candidate,,-,-,35
Bay,PCT 17,U.S. House,2,Write-In Candidate,,81,91,172
Bay,PCT 18,U.S. House,2,Write-In Candidate,,-,-,67
Bay,PCT 19,U.S. House,2,Write-In Candidate,,50,52,102
Bay,PCT 20,U.S. House,2,Write-In Candidate,,30,39,69
Bay,PCT 21,U.S. House,2,Write-In Candidate,,88,74,162
Bay,PCT 22,U.S. House,2,Write-In Candidate,,93,97,190
Bay,PCT 23,U.S. House,2,Write-In Candidate,,74,90,164
Bay,PCT 24,U.S. House,2,Write-In Candidate,,45,33,78
Bay,PCT 25,U.S. House,2,Write-In Candidate,,52,52,104
Bay,PCT 26,U.S. House,2,Write-In Candidate,,-,-,115
Bay,PCT 27,U.S. House,2,Write-In Candidate,,-,-,130
Bay,PCT 28,U.S. House,2,Write-In Candidate,,55,57,112
Bay,PCT 29,U.S. House,2,Write-In Candidate,,83,83,166
Bay,PCT 30,U.S. House,2,Write-In Candidate,,-,-,61
Bay,PCT 31,U.S. House,2,Write-In Candidate,,172,88,260
Bay,PCT 32,U.S. House,2,Write-In Candidate,,54,86,140
Bay,PCT 33,U.S. House,2,Write-In Candidate,,61,57,118
Bay,PCT 34,U.S. House,2,Write-In Candidate,,-,-,64
Bay,PCT 35,U.S. House,2,Write-In Candidate,,83,65,148
Bay,PCT 36,U.S. House,2,Write-In Candidate,,-,-,44
Bay,PCT 37,U.S. House,2,Write-In Candidate,,78,76,154
Bay,PCT 38,U.S. House,2,Write-In Candidate,,38,34,72
Bay,PCT 39,U.S. House,2,Write-In Candidate,,91,67,158
Bay,PCT 40,U.S. House,2,Write-In Candidate,,-,-,99
Bay,PCT 41,U.S. House,2,Write-In Candidate,,-,-,115
Bay,PCT 42,U.S. House,2,Write-In Candidate,,-,-,72
Bay,PCT 43,U.S. House,2,Write-In Candidate,,52,35,87
Bay,PCT 44,U.S. House,2,Write-In Candidate,,-,-,48
Bay,PCT 1,U.S. House,2,OVER VOTES,,-,-,2
Bay,PCT 2,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 3,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 4,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 5,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 6,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 7,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 8,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 9,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 10,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 11,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 12,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 13,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 14,U.S. House,2,OVER VOTES,,-,-,2
Bay,PCT 15,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 16,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 17,U.S. House,2,OVER VOTES,,-,-,3
Bay,PCT 18,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 19,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 20,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 21,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 22,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 23,U.S. House,2,OVER VOTES,,-,-,2
Bay,PCT 24,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 25,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 26,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 27,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 28,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 29,U.S. House,2,OVER VOTES,,-,-,2
Bay,PCT 30,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 31,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 32,U.S. House,2,OVER VOTES,,-,-,2
Bay,PCT 33,U.S. House,2,OVER VOTES,,-,-,2
Bay,PCT 34,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 35,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 36,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 37,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 38,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 39,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 40,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 41,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 42,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 43,U.S. House,2,OVER VOTES,,-,-,1
Bay,PCT 44,U.S. House,2,OVER VOTES,,0,0,0
Bay,PCT 1,U.S. House,2,UNDER VOTES,,-,-,122
Bay,PCT 2,U.S. House,2,UNDER VOTES,,-,-,74
Bay,PCT 3,U.S. House,2,UNDER VOTES,,-,-,39
Bay,PCT 4,U.S. House,2,UNDER VOTES,,40,101,141
Bay,PCT 5,U.S. House,2,UNDER VOTES,,58,145,203
Bay,PCT 6,U.S. House,2,UNDER VOTES,,-,-,245
Bay,PCT 7,U.S. House,2,UNDER VOTES,,-,-,31
Bay,PCT 8,U.S. House,2,UNDER VOTES,,-,-,357
Bay,PCT 9,U.S. House,2,UNDER VOTES,,-,-,400
Bay,PCT 10,U.S. House,2,UNDER VOTES,,-,-,500
Bay,PCT 11,U.S. House,2,UNDER VOTES,,-,-,628
Bay,PCT 12,U.S. House,2,UNDER VOTES,,-,-,478
Bay,PCT 13,U.S. House,2,UNDER VOTES,,-,-,247
Bay,PCT 14,U.S. House,2,UNDER VOTES,,-,-,357
Bay,PCT 15,U.S. House,2,UNDER VOTES,,121,152,273
Bay,PCT 16,U.S. House,2,UNDER VOTES,,52,41,93
Bay,PCT 17,U.S. House,2,UNDER VOTES,,135,193,328
Bay,PCT 18,U.S. House,2,UNDER VOTES,,-,-,181
Bay,PCT 19,U.S. House,2,UNDER VOTES,,119,145,264
Bay,PCT 20,U.S. House,2,UNDER VOTES,,-,-,146
Bay,PCT 21,U.S. House,2,UNDER VOTES,,-,-,342
Bay,PCT 22,U.S. House,2,UNDER VOTES,,-,-,348
Bay,PCT 23,U.S. House,2,UNDER VOTES,,-,-,476
Bay,PCT 24,U.S. House,2,UNDER VOTES,,-,-,154
Bay,PCT 25,U.S. House,2,UNDER VOTES,,-,-,177
Bay,PCT 26,U.S. House,2,UNDER VOTES,,-,-,221
Bay,PCT 27,U.S. House,2,UNDER VOTES,,-,-,301
Bay,PCT 28,U.S. House,2,UNDER VOTES,,-,-,224
Bay,PCT 29,U.S. House,2,UNDER VOTES,,-,-,319
Bay,PCT 30,U.S. House,2,UNDER VOTES,,-,-,156
Bay,PCT 31,U.S. House,2,UNDER VOTES,,-,-,505
Bay,PCT 32,U.S. House,2,UNDER VOTES,,-,-,418
Bay,PCT 33,U.S. House,2,UNDER VOTES,,-,-,340
Bay,PCT 34,U.S. House,2,UNDER VOTES,,57,73,130
Bay,PCT 35,U.S. House,2,UNDER VOTES,,121,120,241
Bay,PCT 36,U.S. House,2,UNDER VOTES,,-,-,125
Bay,PCT 37,U.S. House,2,UNDER VOTES,,-,-,343
Bay,PCT 38,U.S. House,2,UNDER VOTES,,-,-,142
Bay,PCT 39,U.S. House,2,UNDER VOTES,,154,195,349
Bay,PCT 40,U.S. House,2,UNDER VOTES,,81,141,222
Bay,PCT 41,U.S. House,2,UNDER VOTES,,-,-,264
Bay,PCT 42,U.S. House,2,UNDER VOTES,,-,-,125
Bay,PCT 43,U.S. House,2,UNDER VOTES,,-,-,169
Bay,PCT 44,U.S. House,2,UNDER VOTES,,59,62,121
Bay,PCT 3,State House,6,Jay Trumbull,REP,-,-,466
Bay,PCT 4,State House,6,Jay Trumbull,REP,-,-,2065
Bay,PCT 6,State House,6,Jay Trumbull,REP,-,-,2743
Bay,PCT 7,State House,6,Jay Trumbull,REP,41,191,232
Bay,PCT 8,State House,6,Jay Trumbull,REP,-,-,2127
Bay,PCT 9,State House,6,Jay Trumbull,REP,-,-,2063
Bay,PCT 10,State House,6,Jay Trumbull,REP,-,-,2811
Bay,PCT 11,State House,6,Jay Trumbull,REP,-,-,3173
Bay,PCT 12,State House,6,Jay Trumbull,REP,-,-,2985
Bay,PCT 13,State House,6,Jay Trumbull,REP,-,-,1669
Bay,PCT 14,State House,6,Jay Trumbull,REP,-,-,2574
Bay,PCT 15,State House,6,Jay Trumbull,REP,-,-,2137
Bay,PCT 16,State House,6,Jay Trumbull,REP,-,-,1141
Bay,PCT 17,State House,6,Jay Trumbull,REP,547,1906,2453
Bay,PCT 18,State House,6,Jay Trumbull,REP,-,-,1571
Bay,PCT 19,State House,6,Jay Trumbull,REP,231,724,955
Bay,PCT 20,State House,6,Jay Trumbull,REP,220,849,1069
Bay,PCT 21,State House,6,Jay Trumbull,REP,-,-,2746
Bay,PCT 22,State House,6,Jay Trumbull,REP,-,-,2356
Bay,PCT 23,State House,6,Jay Trumbull,REP,-,-,2574
Bay,PCT 24,State House,6,Jay Trumbull,REP,-,-,889
Bay,PCT 25,State House,6,Jay Trumbull,REP,-,-,1380
Bay,PCT 26,State House,6,Jay Trumbull,REP,497,1113,1610
Bay,PCT 27,State House,6,Jay Trumbull,REP,502,1231,1733
Bay,PCT 28,State House,6,Jay Trumbull,REP,-,-,983
Bay,PCT 29,State House,6,Jay Trumbull,REP,-,-,1196
Bay,PCT 30,State House,6,Jay Trumbull,REP,-,-,553
Bay,PCT 31,State House,6,Jay Trumbull,REP,-,-,1890
Bay,PCT 32,State House,6,Jay Trumbull,REP,53,130,183
Bay,PCT 33,State House,6,Jay Trumbull,REP,119,341,460
Bay,PCT 34,State House,6,Jay Trumbull,REP,-,-,610
Bay,PCT 35,State House,6,Jay Trumbull,REP,362,843,1205
Bay,PCT 36,State House,6,Jay Trumbull,REP,-,-,375
Bay,PCT 37,State House,6,Jay Trumbull,REP,407,907,1314
Bay,PCT 38,State House,6,Jay Trumbull,REP,-,-,836
Bay,PCT 39,State House,6,Jay Trumbull,REP,-,-,1996
Bay,PCT 40,State House,6,Jay Trumbull,REP,-,-,945
Bay,PCT 41,State House,6,Jay Trumbull,REP,-,-,1179
Bay,PCT 42,State House,6,Jay Trumbull,REP,-,-,747
Bay,PCT 43,State House,6,Jay Trumbull,REP,-,-,869
Bay,PCT 44,State House,6,Jay Trumbull,REP,-,-,593
Bay,PCT 3,State House,6,Alicia Bays,DEM,42,56,98
Bay,PCT 4,State House,6,Alicia Bays,DEM,-,-,384
Bay,PCT 6,State House,6,Alicia Bays,DEM,-,-,516
Bay,PCT 7,State House,6,Alicia Bays,DEM,-,-,59
Bay,PCT 8,State House,6,Alicia Bays,DEM,-,-,652
Bay,PCT 9,State House,6,Alicia Bays,DEM,-,-,748
Bay,PCT 10,State House,6,Alicia Bays,DEM,482,448,930
Bay,PCT 11,State House,6,Alicia Bays,DEM,-,-,1282
Bay,PCT 12,State House,6,Alicia Bays,DEM,-,-,1017
Bay,PCT 13,State House,6,Alicia Bays,DEM,-,-,526
Bay,PCT 14,State House,6,Alicia Bays,DEM,-,-,843
Bay,PCT 15,State House,6,Alicia Bays,DEM,-,-,506
Bay,PCT 16,State House,6,Alicia Bays,DEM,104,100,204
Bay,PCT 17,State House,6,Alicia Bays,DEM,-,-,783
Bay,PCT 18,State House,6,Alicia Bays,DEM,161,220,381
Bay,PCT 19,State House,6,Alicia Bays,DEM,-,-,541
Bay,PCT 20,State House,6,Alicia Bays,DEM,-,-,317
Bay,PCT 21,State House,6,Alicia Bays,DEM,366,378,744
Bay,PCT 22,State House,6,Alicia Bays,DEM,383,406,789
Bay,PCT 23,State House,6,Alicia Bays,DEM,-,-,1060
Bay,PCT 24,State House,6,Alicia Bays,DEM,-,-,360
Bay,PCT 25,State House,6,Alicia Bays,DEM,200,202,402
Bay,PCT 26,State House,6,Alicia Bays,DEM,-,-,486
Bay,PCT 27,State House,6,Alicia Bays,DEM,-,-,682
Bay,PCT 28,State House,6,Alicia Bays,DEM,-,-,531
Bay,PCT 29,State House,6,Alicia Bays,DEM,-,-,811
Bay,PCT 30,State House,6,Alicia Bays,DEM,-,-,366
Bay,PCT 31,State House,6,Alicia Bays,DEM,-,-,1056
Bay,PCT 32,State House,6,Alicia Bays,DEM,-,-,937
Bay,PCT 33,State House,6,Alicia Bays,DEM,-,-,759
Bay,PCT 34,State House,6,Alicia Bays,DEM,125,146,271
Bay,PCT 35,State House,6,Alicia Bays,DEM,253,237,490
Bay,PCT 36,State House,6,Alicia Bays,DEM,97,158,255
Bay,PCT 37,State House,6,Alicia Bays,DEM,-,-,886
Bay,PCT 38,State House,6,Alicia Bays,DEM,-,-,356
Bay,PCT 39,State House,6,Alicia Bays,DEM,334,425,759
Bay,PCT 40,State House,6,Alicia Bays,DEM,203,318,521
Bay,PCT 41,State House,6,Alicia Bays,DEM,-,-,624
Bay,PCT 42,State House,6,Alicia Bays,DEM,187,112,299
Bay,PCT 43,State House,6,Alicia Bays,DEM,194,239,433
Bay,PCT 44,State House,6,Alicia Bays,DEM,-,-,184
Bay,PCT 3,State House,6,OVER VOTES,,0,0,0
Bay,PCT 4,State House,6,OVER VOTES,,-,-,1
Bay,PCT 6,State House,6,OVER VOTES,,-,-,1
Bay,PCT 7,State House,6,OVER VOTES,,0,0,0
Bay,PCT 8,State House,6,OVER VOTES,,-,-,1
Bay,PCT 9,State House,6,OVER VOTES,,0,0,0
Bay,PCT 10,State House,6,OVER VOTES,,-,-,1
Bay,PCT 11,State House,6,OVER VOTES,,0,0,0
Bay,PCT 12,State House,6,OVER VOTES,,-,-,1
Bay,PCT 13,State House,6,OVER VOTES,,-,-,1
Bay,PCT 14,State House,6,OVER VOTES,,0,0,0
Bay,PCT 15,State House,6,OVER VOTES,,0,0,0
Bay,PCT 16,State House,6,OVER VOTES,,0,0,0
Bay,PCT 17,State House,6,OVER VOTES,,0,0,0
Bay,PCT 18,State House,6,OVER VOTES,,0,0,0
Bay,PCT 19,State House,6,OVER VOTES,,0,0,0
Bay,PCT 20,State House,6,OVER VOTES,,0,0,0
Bay,PCT 21,State House,6,OVER VOTES,,0,0,0
Bay,PCT 22,State House,6,OVER VOTES,,-,-,2
Bay,PCT 23,State House,6,OVER VOTES,,0,0,0
Bay,PCT 24,State House,6,OVER VOTES,,0,0,0
Bay,PCT 25,State House,6,OVER VOTES,,0,0,0
Bay,PCT 26,State House,6,OVER VOTES,,0,0,0
Bay,PCT 27,State House,6,OVER VOTES,,0,0,0
Bay,PCT 28,State House,6,OVER VOTES,,0,0,0
Bay,PCT 29,State House,6,OVER VOTES,,0,0,0
Bay,PCT 30,State House,6,OVER VOTES,,0,0,0
Bay,PCT 31,State House,6,OVER VOTES,,0,0,0
Bay,PCT 32,State House,6,OVER VOTES,,0,0,0
Bay,PCT 33,State House,6,OVER VOTES,,0,0,0
Bay,PCT 34,State House,6,OVER VOTES,,-,-,1
Bay,PCT 35,State House,6,OVER VOTES,,0,0,0
Bay,PCT 36,State House,6,OVER VOTES,,0,0,0
Bay,PCT 37,State House,6,OVER VOTES,,0,0,0
Bay,PCT 38,State House,6,OVER VOTES,,0,0,0
Bay,PCT 39,State House,6,OVER VOTES,,0,0,0
Bay,PCT 40,State House,6,OVER VOTES,,0,0,0
Bay,PCT 41,State House,6,OVER VOTES,,0,0,0
Bay,PCT 42,State House,6,OVER VOTES,,0,0,0
Bay,PCT 43,State House,6,OVER VOTES,,-,-,1
Bay,PCT 44,State House,6,OVER VOTES,,0,0,0
Bay,PCT 3,State House,6,UNDER VOTES,,-,-,17
Bay,PCT 4,State House,6,UNDER VOTES,,-,-,83
Bay,PCT 6,State House,6,UNDER VOTES,,-,-,79
Bay,PCT 7,State House,6,UNDER VOTES,,-,-,9
Bay,PCT 8,State House,6,UNDER VOTES,,-,-,105
Bay,PCT 9,State House,6,UNDER VOTES,,-,-,119
Bay,PCT 10,State House,6,UNDER VOTES,,-,-,165
Bay,PCT 11,State House,6,UNDER VOTES,,-,-,196
Bay,PCT 12,State House,6,UNDER VOTES,,-,-,141
Bay,PCT 13,State House,6,UNDER VOTES,,-,-,70
Bay,PCT 14,State House,6,UNDER VOTES,,-,-,109
Bay,PCT 15,State House,6,UNDER VOTES,,-,-,72
Bay,PCT 16,State House,6,UNDER VOTES,,-,-,24
Bay,PCT 17,State House,6,UNDER VOTES,,-,-,88
Bay,PCT 18,State House,6,UNDER VOTES,,-,-,63
Bay,PCT 19,State House,6,UNDER VOTES,,-,-,36
Bay,PCT 20,State House,6,UNDER VOTES,,-,-,40
Bay,PCT 21,State House,6,UNDER VOTES,,-,-,93
Bay,PCT 22,State House,6,UNDER VOTES,,-,-,82
Bay,PCT 23,State House,6,UNDER VOTES,,-,-,107
Bay,PCT 24,State House,6,UNDER VOTES,,-,-,51
Bay,PCT 25,State House,6,UNDER VOTES,,-,-,49
Bay,PCT 26,State House,6,UNDER VOTES,,-,-,69
Bay,PCT 27,State House,6,UNDER VOTES,,-,-,79
Bay,PCT 28,State House,6,UNDER VOTES,,-,-,49
Bay,PCT 29,State House,6,UNDER VOTES,,-,-,72
Bay,PCT 30,State House,6,UNDER VOTES,,-,-,31
Bay,PCT 31,State House,6,UNDER VOTES,,-,-,113
Bay,PCT 32,State House,6,UNDER VOTES,,-,-,42
Bay,PCT 33,State House,6,UNDER VOTES,,-,-,46
Bay,PCT 34,State House,6,UNDER VOTES,,-,-,17
Bay,PCT 35,State House,6,UNDER VOTES,,-,-,44
Bay,PCT 36,State House,6,UNDER VOTES,,-,-,20
Bay,PCT 37,State House,6,UNDER VOTES,,-,-,69
Bay,PCT 38,State House,6,UNDER VOTES,,-,-,38
Bay,PCT 39,State House,6,UNDER VOTES,,39,47,86
Bay,PCT 40,State House,6,UNDER VOTES,,-,-,39
Bay,PCT 41,State House,6,UNDER VOTES,,-,-,60
Bay,PCT 42,State House,6,UNDER VOTES,,-,-,51
Bay,PCT 43,State House,6,UNDER VOTES,,-,-,43
Bay,PCT 44,State House,6,UNDER VOTES,,-,-,34
