county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Hernando,1001 - Tri-County Comm. CTR,Registered Voters,,,,1575,,,,
Hernando,1002 - Eden Baptist CH Fellowship HL,Registered Voters,,,,1920,,,,
Hernando,1004 - Jerome Brown Comm. CTR,Registered Voters,,,,2076,,,,
Hernando,1006 - Faith Evanl. Presb. CH,Registered Voters,,,,2402,,,,
Hernando,1008 - Ridge Manor Comm. CTR,Registered Voters,,,,2622,,,,
Hernando,1009 - Spring Lake United Methodist CH,Registered Voters,,,,2652,,,,
Hernando,1010 - Grace World Outreach CH,Registered Voters,,,,3118,,,,
Hernando,1012 - Deerfield Clubhouse,Registered Voters,,,,3238,,,,
Hernando,1014 - Brooksville Elks Lodge,Registered Voters,,,,3267,,,,
Hernando,1015 - Holy Cross Luth. CH,Registered Voters,,,,3546,,,,
Hernando,1017 - Nativity Luth. CH,Registered Voters,,,,3688,,,,
Hernando,1018 - High Point Comm. Clubhouse,Registered Voters,,,,3835,,,,
Hernando,1019 - Grace Presb. CH,Registered Voters,,,,4038,,,,
Hernando,1021 - Fellowship Comm. CH,Registered Voters,,,,4158,,,,
Hernando,1023 - Forest Oaks Luth. CH,Registered Voters,,,,4172,,,,
Hernando,1024 - Christian CH in the Wildwood,Registered Voters,,,,4332,,,,
Hernando,1025 - Brookridge Clubhouse Middle RM,Registered Voters,,,,4354,,,,
Hernando,1027 - St. Joan of Arc CH Parish Hall,Registered Voters,,,,4374,,,,
Hernando,1029 - Providence CH,Registered Voters,,,,4518,,,,
Hernando,1030 - Coast Guard Aux. BLDG,Registered Voters,,,,4734,,,,
Hernando,1031 - Hernando County Utilities DEPT,Registered Voters,,,,4836,,,,
Hernando,1033 - Gateway Bible CH,Registered Voters,,,,4862,,,,
Hernando,1034 - Northcliffe Bapt. CH Hall,Registered Voters,,,,4980,,,,
Hernando,1036 - Hillside Comm. Bapt. CH,Registered Voters,,,,5397,,,,
Hernando,1038 - Regency Oaks Clubhouse,Registered Voters,,,,5816,,,,
Hernando,1039 - SH Cal. CH of the Nazarene,Registered Voters,,,,5994,,,,
Hernando,1040 - SH United CH of Christ Hall,Registered Voters,,,,6009,,,,
Hernando,1042 - Family First Assembly,Registered Voters,,,,6547,,,,
Hernando,1044 - Sterling Hill Clubhouse North,Registered Voters,,,,7420,,,,
Hernando,1047 - Timber Pines Perf. Arts CTR,Registered Voters,,,,7710,,,,
Hernando,1048 - YMCA of Suncoast,Registered Voters,,,,8516,,,,
Hernando,1054 - Wellington Clubhouse,Registered Voters,,,,10187,,,,
Hernando,1001 - Tri-County Comm. CTR,Ballots Cast,,,,1212,442,332,438,0
Hernando,1002 - Eden Baptist CH Fellowship HL,Ballots Cast,,,,1700,908,266,526,0
Hernando,1004 - Jerome Brown Comm. CTR,Ballots Cast,,,,1607,538,501,568,0
Hernando,1006 - Faith Evanl. Presb. CH,Ballots Cast,,,,1953,671,654,628,0
Hernando,1008 - Ridge Manor Comm. CTR,Ballots Cast,,,,2167,824,626,715,2
Hernando,1009 - Spring Lake United Methodist CH,Ballots Cast,,,,1832,765,651,415,1
Hernando,1010 - Grace World Outreach CH,Ballots Cast,,,,2481,984,819,677,1
Hernando,1012 - Deerfield Clubhouse,Ballots Cast,,,,2509,1087,605,816,1
Hernando,1014 - Brooksville Elks Lodge,Ballots Cast,,,,2533,1033,933,567,0
Hernando,1015 - Holy Cross Luth. CH,Ballots Cast,,,,2732,1243,912,577,0
Hernando,1017 - Nativity Luth. CH,Ballots Cast,,,,2706,1128,1076,501,1
Hernando,1018 - High Point Comm. Clubhouse,Ballots Cast,,,,3026,1563,691,772,0
Hernando,1019 - Grace Presb. CH,Ballots Cast,,,,2946,975,1045,924,2
Hernando,1021 - Fellowship Comm. CH,Ballots Cast,,,,3084,1393,1119,572,0
Hernando,1023 - Forest Oaks Luth. CH,Ballots Cast,,,,2961,1340,1053,568,0
Hernando,1024 - Christian CH in the Wildwood,Ballots Cast,,,,3196,1252,1173,769,2
Hernando,1025 - Brookridge Clubhouse Middle RM,Ballots Cast,,,,3143,1258,1122,761,2
Hernando,1027 - St. Joan of Arc CH Parish Hall,Ballots Cast,,,,3275,1531,1238,506,0
Hernando,1029 - Providence CH,Ballots Cast,,,,3955,2228,719,1006,2
Hernando,1030 - Coast Guard Aux. BLDG,Ballots Cast,,,,3436,1507,1276,649,4
Hernando,1031 - Hernando County Utilities DEPT,Ballots Cast,,,,3551,1238,1475,838,0
Hernando,1033 - Gateway Bible CH,Ballots Cast,,,,3922,2061,1173,684,4
Hernando,1034 - Northcliffe Bapt. CH Hall,Ballots Cast,,,,3444,1616,1166,661,1
Hernando,1036 - Hillside Comm. Bapt. CH,Ballots Cast,,,,3717,1534,1250,926,7
Hernando,1038 - Regency Oaks Clubhouse,Ballots Cast,,,,4035,1762,1357,914,2
Hernando,1039 - SH Cal. CH of the Nazarene,Ballots Cast,,,,4399,1742,1597,1060,0
Hernando,1040 - SH United CH of Christ Hall,Ballots Cast,,,,4342,2087,1444,802,9
Hernando,1042 - Family First Assembly,Ballots Cast,,,,4548,1919,1566,1060,3
Hernando,1044 - Sterling Hill Clubhouse North,Ballots Cast,,,,5572,2480,2190,900,2
Hernando,1047 - Timber Pines Perf. Arts CTR,Ballots Cast,,,,5766,2390,2259,1112,5
Hernando,1048 - YMCA of Suncoast,Ballots Cast,,,,6454,2712,2477,1261,4
Hernando,1054 - Wellington Clubhouse,Ballots Cast,,,,7658,3233,2662,1761,2
Hernando,1001 - Tri-County Comm. CTR,President,,REP,Donald J. Trump,901,259,266,376,0
Hernando,1002 - Eden Baptist CH Fellowship HL,President,,REP,Donald J. Trump,1313,368,430,515,0
Hernando,1004 - Jerome Brown Comm. CTR,President,,REP,Donald J. Trump,2553,1014,963,574,2
Hernando,1006 - Faith Evanl. Presb. CH,President,,REP,Donald J. Trump,2340,782,915,641,2
Hernando,1008 - Ridge Manor Comm. CTR,President,,REP,Donald J. Trump,2050,532,786,731,1
Hernando,1009 - Spring Lake United Methodist CH,President,,REP,Donald J. Trump,1505,436,522,547,0
Hernando,1010 - Grace World Outreach CH,President,,REP,Donald J. Trump,2300,842,958,496,4
Hernando,1012 - Deerfield Clubhouse,President,,REP,Donald J. Trump,1658,542,620,495,1
Hernando,1014 - Brooksville Elks Lodge,President,,REP,Donald J. Trump,4148,1345,1832,970,1
Hernando,1015 - Holy Cross Luth. CH,President,,REP,Donald J. Trump,2158,675,839,641,3
Hernando,1017 - Nativity Luth. CH,President,,REP,Donald J. Trump,2669,1162,930,574,3
Hernando,1018 - High Point Comm. Clubhouse,President,,REP,Donald J. Trump,1727,593,472,661,1
Hernando,1019 - Grace Presb. CH,President,,REP,Donald J. Trump,3740,1219,1679,840,2
Hernando,1021 - Fellowship Comm. CH,President,,REP,Donald J. Trump,1613,466,785,362,0
Hernando,1023 - Forest Oaks Luth. CH,President,,REP,Donald J. Trump,2041,716,830,495,0
Hernando,1024 - Christian CH in the Wildwood,President,,REP,Donald J. Trump,5420,1817,2113,1489,1
Hernando,1025 - Brookridge Clubhouse Middle RM,President,,REP,Donald J. Trump,1822,747,496,579,0
Hernando,1027 - St. Joan of Arc CH Parish Hall,President,,REP,Donald J. Trump,2692,789,1115,788,0
Hernando,1029 - Providence CH,President,,REP,Donald J. Trump,1686,586,700,400,0
Hernando,1030 - Coast Guard Aux. BLDG,President,,REP,Donald J. Trump,1579,468,508,603,0
Hernando,1031 - Hernando County Utilities DEPT,President,,REP,Donald J. Trump,2253,869,963,421,0
Hernando,1033 - Gateway Bible CH,President,,REP,Donald J. Trump,1958,599,781,577,1
Hernando,1034 - Northcliffe Bapt. CH Hall,President,,REP,Donald J. Trump,2350,779,929,640,2
Hernando,1036 - Hillside Comm. Bapt. CH,President,,REP,Donald J. Trump,2345,631,1071,643,0
Hernando,1038 - Regency Oaks Clubhouse,President,,REP,Donald J. Trump,1647,579,660,408,0
Hernando,1039 - SH Cal. CH of the Nazarene,President,,REP,Donald J. Trump,1068,320,454,294,0
Hernando,1040 - SH United CH of Christ Hall,President,,REP,Donald J. Trump,2625,826,1066,732,1
Hernando,1042 - Family First Assembly,President,,REP,Donald J. Trump,1647,502,690,455,0
Hernando,1044 - Sterling Hill Clubhouse North,President,,REP,Donald J. Trump,3222,1114,1496,610,2
Hernando,1047 - Timber Pines Perf. Arts CTR,President,,REP,Donald J. Trump,2460,1139,531,788,2
Hernando,1048 - YMCA of Suncoast,President,,REP,Donald J. Trump,1869,670,780,419,0
Hernando,1054 - Wellington Clubhouse,President,,REP,Donald J. Trump,1053,448,196,409,0
Hernando,1001 - Tri-County Comm. CTR,President,,DEM,Joseph R. Biden,292,174,63,55,0
Hernando,1002 - Eden Baptist CH Fellowship HL,President,,DEM,Joseph R. Biden,278,163,67,48,0
Hernando,1004 - Jerome Brown Comm. CTR,President,,DEM,Joseph R. Biden,1689,1021,461,201,6
Hernando,1006 - Faith Evanl. Presb. CH,President,,DEM,Joseph R. Biden,811,446,251,114,0
Hernando,1008 - Ridge Manor Comm. CTR,President,,DEM,Joseph R. Biden,841,426,247,167,1
Hernando,1009 - Spring Lake United Methodist CH,President,,DEM,Joseph R. Biden,424,223,127,74,0
Hernando,1010 - Grace World Outreach CH,President,,DEM,Joseph R. Biden,1064,621,309,134,0
Hernando,1012 - Deerfield Clubhouse,President,,DEM,Joseph R. Biden,781,422,193,166,0
Hernando,1014 - Brooksville Elks Lodge,President,,DEM,Joseph R. Biden,2227,1325,632,268,2
Hernando,1015 - Holy Cross Luth. CH,President,,DEM,Joseph R. Biden,1473,810,392,267,4
Hernando,1017 - Nativity Luth. CH,President,,DEM,Joseph R. Biden,1196,865,233,97,1
Hernando,1018 - High Point Comm. Clubhouse,President,,DEM,Joseph R. Biden,740,470,125,145,0
Hernando,1019 - Grace Presb. CH,President,,DEM,Joseph R. Biden,1923,1126,553,241,3
Hernando,1021 - Fellowship Comm. CH,President,,DEM,Joseph R. Biden,1033,629,273,130,1
Hernando,1023 - Forest Oaks Luth. CH,President,,DEM,Joseph R. Biden,1337,865,315,157,0
Hernando,1024 - Christian CH in the Wildwood,President,,DEM,Joseph R. Biden,2112,1352,520,239,1
Hernando,1025 - Brookridge Clubhouse Middle RM,President,,DEM,Joseph R. Biden,1146,780,186,180,0
Hernando,1027 - St. Joan of Arc CH Parish Hall,President,,DEM,Joseph R. Biden,1622,913,460,249,0
Hernando,1029 - Providence CH,President,,DEM,Joseph R. Biden,1201,715,332,154,0
Hernando,1030 - Coast Guard Aux. BLDG,President,,DEM,Joseph R. Biden,557,342,113,100,2
Hernando,1031 - Hernando County Utilities DEPT,President,,DEM,Joseph R. Biden,976,631,269,76,0
Hernando,1033 - Gateway Bible CH,President,,DEM,Joseph R. Biden,1126,633,326,166,1
Hernando,1034 - Northcliffe Bapt. CH Hall,President,,DEM,Joseph R. Biden,1627,954,417,256,0
Hernando,1036 - Hillside Comm. Bapt. CH,President,,DEM,Joseph R. Biden,1133,562,390,181,0
Hernando,1038 - Regency Oaks Clubhouse,President,,DEM,Joseph R. Biden,1050,641,247,162,0
Hernando,1039 - SH Cal. CH of the Nazarene,President,,DEM,Joseph R. Biden,728,426,191,110,1
Hernando,1040 - SH United CH of Christ Hall,President,,DEM,Joseph R. Biden,1829,1039,487,301,2
Hernando,1042 - Family First Assembly,President,,DEM,Joseph R. Biden,835,505,228,102,0
Hernando,1044 - Sterling Hill Clubhouse North,President,,DEM,Joseph R. Biden,2234,1296,670,268,0
Hernando,1047 - Timber Pines Perf. Arts CTR,President,,DEM,Joseph R. Biden,1449,1051,185,213,0
Hernando,1048 - YMCA of Suncoast,President,,DEM,Joseph R. Biden,1166,701,327,138,0
Hernando,1054 - Wellington Clubhouse,President,,DEM,Joseph R. Biden,619,437,69,113,0
Hernando,1001 - Tri-County Comm. CTR,President,,LPF,Jo Jorgensen,7,1,2,4,0
Hernando,1002 - Eden Baptist CH Fellowship HL,President,,LPF,Jo Jorgensen,5,2,1,2,0
Hernando,1004 - Jerome Brown Comm. CTR,President,,LPF,Jo Jorgensen,37,12,11,14,0
Hernando,1006 - Faith Evanl. Presb. CH,President,,LPF,Jo Jorgensen,18,9,2,7,0
Hernando,1008 - Ridge Manor Comm. CTR,President,,LPF,Jo Jorgensen,26,6,5,15,0
Hernando,1009 - Spring Lake United Methodist CH,President,,LPF,Jo Jorgensen,13,5,3,5,0
Hernando,1010 - Grace World Outreach CH,President,,LPF,Jo Jorgensen,24,8,4,12,0
Hernando,1012 - Deerfield Clubhouse,President,,LPF,Jo Jorgensen,17,3,4,10,0
Hernando,1014 - Brooksville Elks Lodge,President,,LPF,Jo Jorgensen,31,15,5,11,0
Hernando,1015 - Holy Cross Luth. CH,President,,LPF,Jo Jorgensen,28,12,6,10,0
Hernando,1017 - Nativity Luth. CH,President,,LPF,Jo Jorgensen,18,10,4,4,0
Hernando,1018 - High Point Comm. Clubhouse,President,,LPF,Jo Jorgensen,15,7,1,7,0
Hernando,1019 - Grace Presb. CH,President,,LPF,Jo Jorgensen,42,17,9,16,0
Hernando,1021 - Fellowship Comm. CH,President,,LPF,Jo Jorgensen,13,8,4,1,0
Hernando,1023 - Forest Oaks Luth. CH,President,,LPF,Jo Jorgensen,28,10,12,5,1
Hernando,1024 - Christian CH in the Wildwood,President,,LPF,Jo Jorgensen,57,23,15,19,0
Hernando,1025 - Brookridge Clubhouse Middle RM,President,,LPF,Jo Jorgensen,10,3,4,3,0
Hernando,1027 - St. Joan of Arc CH Parish Hall,President,,LPF,Jo Jorgensen,28,12,9,7,0
Hernando,1029 - Providence CH,President,,LPF,Jo Jorgensen,27,10,9,8,0
Hernando,1030 - Coast Guard Aux. BLDG,President,,LPF,Jo Jorgensen,6,2,0,4,0
Hernando,1031 - Hernando County Utilities DEPT,President,,LPF,Jo Jorgensen,15,7,3,5,0
Hernando,1033 - Gateway Bible CH,President,,LPF,Jo Jorgensen,27,9,7,11,0
Hernando,1034 - Northcliffe Bapt. CH Hall,President,,LPF,Jo Jorgensen,24,8,5,11,0
Hernando,1036 - Hillside Comm. Bapt. CH,President,,LPF,Jo Jorgensen,30,17,7,6,0
Hernando,1038 - Regency Oaks Clubhouse,President,,LPF,Jo Jorgensen,13,6,2,5,0
Hernando,1039 - SH Cal. CH of the Nazarene,President,,LPF,Jo Jorgensen,10,2,3,5,0
Hernando,1040 - SH United CH of Christ Hall,President,,LPF,Jo Jorgensen,40,15,7,18,0
Hernando,1042 - Family First Assembly,President,,LPF,Jo Jorgensen,18,8,5,5,0
Hernando,1044 - Sterling Hill Clubhouse North,President,,LPF,Jo Jorgensen,38,19,11,8,0
Hernando,1047 - Timber Pines Perf. Arts CTR,President,,LPF,Jo Jorgensen,7,6,0,1,0
Hernando,1048 - YMCA of Suncoast,President,,LPF,Jo Jorgensen,12,5,5,2,0
Hernando,1054 - Wellington Clubhouse,President,,LPF,Jo Jorgensen,2,1,1,0,0
Hernando,1001 - Tri-County Comm. CTR,President,,REF,"Roque ""Rocky"" De La Fuente",2,1,1,0,0
Hernando,1002 - Eden Baptist CH Fellowship HL,President,,REF,"Roque ""Rocky"" De La Fuente",1,0,0,1,0
Hernando,1004 - Jerome Brown Comm. CTR,President,,REF,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Hernando,1006 - Faith Evanl. Presb. CH,President,,REF,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Hernando,1008 - Ridge Manor Comm. CTR,President,,REF,"Roque ""Rocky"" De La Fuente",2,0,0,2,0
Hernando,1009 - Spring Lake United Methodist CH,President,,REF,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Hernando,1010 - Grace World Outreach CH,President,,REF,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Hernando,1012 - Deerfield Clubhouse,President,,REF,"Roque ""Rocky"" De La Fuente",2,1,0,1,0
Hernando,1014 - Brooksville Elks Lodge,President,,REF,"Roque ""Rocky"" De La Fuente",2,2,0,0,0
Hernando,1015 - Holy Cross Luth. CH,President,,REF,"Roque ""Rocky"" De La Fuente",3,2,0,1,0
Hernando,1017 - Nativity Luth. CH,President,,REF,"Roque ""Rocky"" De La Fuente",6,5,0,1,0
Hernando,1018 - High Point Comm. Clubhouse,President,,REF,"Roque ""Rocky"" De La Fuente",1,0,1,0,0
Hernando,1019 - Grace Presb. CH,President,,REF,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Hernando,1021 - Fellowship Comm. CH,President,,REF,"Roque ""Rocky"" De La Fuente",1,0,0,1,0
Hernando,1023 - Forest Oaks Luth. CH,President,,REF,"Roque ""Rocky"" De La Fuente",2,2,0,0,0
Hernando,1024 - Christian CH in the Wildwood,President,,REF,"Roque ""Rocky"" De La Fuente",4,3,0,1,0
Hernando,1025 - Brookridge Clubhouse Middle RM,President,,REF,"Roque ""Rocky"" De La Fuente",2,2,0,0,0
Hernando,1027 - St. Joan of Arc CH Parish Hall,President,,REF,"Roque ""Rocky"" De La Fuente",1,0,0,1,0
Hernando,1029 - Providence CH,President,,REF,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Hernando,1030 - Coast Guard Aux. BLDG,President,,REF,"Roque ""Rocky"" De La Fuente",3,2,0,1,0
Hernando,1031 - Hernando County Utilities DEPT,President,,REF,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Hernando,1033 - Gateway Bible CH,President,,REF,"Roque ""Rocky"" De La Fuente",2,1,1,0,0
Hernando,1034 - Northcliffe Bapt. CH Hall,President,,REF,"Roque ""Rocky"" De La Fuente",2,2,0,0,0
Hernando,1036 - Hillside Comm. Bapt. CH,President,,REF,"Roque ""Rocky"" De La Fuente",3,2,0,1,0
Hernando,1038 - Regency Oaks Clubhouse,President,,REF,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Hernando,1039 - SH Cal. CH of the Nazarene,President,,REF,"Roque ""Rocky"" De La Fuente",4,2,1,1,0
Hernando,1040 - SH United CH of Christ Hall,President,,REF,"Roque ""Rocky"" De La Fuente",3,3,0,0,0
Hernando,1042 - Family First Assembly,President,,REF,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Hernando,1044 - Sterling Hill Clubhouse North,President,,REF,"Roque ""Rocky"" De La Fuente",6,5,0,1,0
Hernando,1047 - Timber Pines Perf. Arts CTR,President,,REF,"Roque ""Rocky"" De La Fuente",3,3,0,0,0
Hernando,1048 - YMCA of Suncoast,President,,REF,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Hernando,1054 - Wellington Clubhouse,President,,REF,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Hernando,1001 - Tri-County Comm. CTR,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1002 - Eden Baptist CH Fellowship HL,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1004 - Jerome Brown Comm. CTR,President,,PSL,Gloria La Riva,3,2,0,1,0
Hernando,1006 - Faith Evanl. Presb. CH,President,,PSL,Gloria La Riva,2,2,0,0,0
Hernando,1008 - Ridge Manor Comm. CTR,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1009 - Spring Lake United Methodist CH,President,,PSL,Gloria La Riva,1,1,0,0,0
Hernando,1010 - Grace World Outreach CH,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1012 - Deerfield Clubhouse,President,,PSL,Gloria La Riva,3,1,1,1,0
Hernando,1014 - Brooksville Elks Lodge,President,,PSL,Gloria La Riva,5,3,1,1,0
Hernando,1015 - Holy Cross Luth. CH,President,,PSL,Gloria La Riva,3,3,0,0,0
Hernando,1017 - Nativity Luth. CH,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1018 - High Point Comm. Clubhouse,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1019 - Grace Presb. CH,President,,PSL,Gloria La Riva,3,2,0,1,0
Hernando,1021 - Fellowship Comm. CH,President,,PSL,Gloria La Riva,3,2,1,0,0
Hernando,1023 - Forest Oaks Luth. CH,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1024 - Christian CH in the Wildwood,President,,PSL,Gloria La Riva,3,2,0,1,0
Hernando,1025 - Brookridge Clubhouse Middle RM,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1027 - St. Joan of Arc CH Parish Hall,President,,PSL,Gloria La Riva,4,3,0,1,0
Hernando,1029 - Providence CH,President,,PSL,Gloria La Riva,2,1,1,0,0
Hernando,1030 - Coast Guard Aux. BLDG,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1031 - Hernando County Utilities DEPT,President,,PSL,Gloria La Riva,2,1,1,0,0
Hernando,1033 - Gateway Bible CH,President,,PSL,Gloria La Riva,1,0,1,0,0
Hernando,1034 - Northcliffe Bapt. CH Hall,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1036 - Hillside Comm. Bapt. CH,President,,PSL,Gloria La Riva,3,2,0,1,0
Hernando,1038 - Regency Oaks Clubhouse,President,,PSL,Gloria La Riva,1,0,0,1,0
Hernando,1039 - SH Cal. CH of the Nazarene,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1040 - SH United CH of Christ Hall,President,,PSL,Gloria La Riva,2,2,0,0,0
Hernando,1042 - Family First Assembly,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1044 - Sterling Hill Clubhouse North,President,,PSL,Gloria La Riva,2,2,0,0,0
Hernando,1047 - Timber Pines Perf. Arts CTR,President,,PSL,Gloria La Riva,1,0,1,0,0
Hernando,1048 - YMCA of Suncoast,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1054 - Wellington Clubhouse,President,,PSL,Gloria La Riva,0,0,0,0,0
Hernando,1001 - Tri-County Comm. CTR,President,,GRE,Howie Hawkins,2,1,0,1,0
Hernando,1002 - Eden Baptist CH Fellowship HL,President,,GRE,Howie Hawkins,2,1,1,0,0
Hernando,1004 - Jerome Brown Comm. CTR,President,,GRE,Howie Hawkins,12,7,2,3,0
Hernando,1006 - Faith Evanl. Presb. CH,President,,GRE,Howie Hawkins,3,1,1,1,0
Hernando,1008 - Ridge Manor Comm. CTR,President,,GRE,Howie Hawkins,5,1,0,4,0
